TELEPORT_PANEL_TITLE	isinlayici
HIDE_OPTION5	Bayraklar
TIME_TYPE	Zaman AM/PM
ENVIRONMENT_MODE	Gökyüzü
ENVIRONMENT_MODE0	Gün
ENVIRONMENT_MODE1	Gece
ENVIRONMENT_MODE2	Özel 1
ENVIRONMENT_MODE3	Özel 2
ENVIRONMENT_MODE4	Özel 3
ENVIRONMENT_MODE5	Özel 4
ENVIRONMENT_MODE6	Özel 5
OPTION_AUTO_PICKUP	Toplama
OPTION_AUTO_PICKUP_ON	Otomatik
OPTION_AUTO_PICKUP_OFF	Manuel
OPTION_NAMES_TYPE_NAME	Tür Adý
OPTION_NAMES_TYPE_NAME_0	Kýsmi
OPTION_NAMES_TYPE_NAME_1	Full
MASK_HP_DEFAULT	HP: 12.000.000 / 12.000.000
EXTRA_INVENTORY_TITLE	Ekstra Envanter
FISHING_RENEWAL_TITLE	Balýk Tutma
BIOLOG_WND_CHANGE	Deðiþtir
BIOLOG_WND_TITLE_CHOOSE	Bonusu Deðiþtir
BIOLOG_WND_CHOOSE_1	Görevi Seçin:
BIOLOG_WND_CHOOSE_2	Bonusu Seçin:
BIOLOG_WND_TITLE	Biyolog Araþtýrmasý
BIOLOG_WND_REWARD	Ödül
BIOLOG_WND_REWARD_BUTTON	Ödül.
UICHAR_LV	Lv.
UICHAR_EXP	EXP
UICHAR_NEXTEXP	Gerekli Exp
UICHAR_STATUS	Karakter Statüsü
UICHAR_CHARACTERISTICS	Özellikler
UICHAR_STATUS_VALUE	[%d]
UICHAR_STATUS_VIT	VIT
UICHAR_STATUS_INT	INT
UICHAR_STATUS_STR	STR
UICHAR_STATUS_DEX	DEX
UICHAR_STATUS_HP	HP
UICHAR_STATUS_SP	SP
UICHAR_STATUS_ATT	Saldýrý Hasarý
UICHAR_STATUS_DEF	Savunma
UICHAR_CHARACTERISTICS_1a	Hareket
UICHAR_CHARACTERISTICS_1b	Hýz
UICHAR_CHARACTERISTICS_2a	Saldýrý
UICHAR_CHARACTERISTICS_2b	Oran
UICHAR_CHARACTERISTICS_3a	Döküm
UICHAR_CHARACTERISTICS_3b	Hýz
UICHAR_CHARACTERISTICS_4a	Büyü
UICHAR_CHARACTERISTICS_4b	Hasar
UICHAR_CHARACTERISTICS_5a	Büyü
UICHAR_CHARACTERISTICS_5b	Savunma
UICHAR_CHARACTERISTICS_6a	Deðer
UICHAR_CHARACTERISTICS_6b	Savuþturma
BATTLEPASS_MISSIONNAME	Görev Adý
BATTLEPASS_STATUS	Durum
BATTLEPASS_INFORMATIONS	Bilgiler
BATTLEPASS_DESCRIPTION	Açýklama
BATTLEPASS_GENERAL_INFORMATIONS	Savaþ Bileti Bilgisi
BATTLEPASS_SHOP_DESC	Pazar Aç
BATTLEPASS_REWARD_DESC	Ödül
SUBTEXT_OFFLINESHOP_TEXTBTN1	Pazarým
SUBTEXT_OFFLINESHOP_TEXTBTN2	Pazar Listesi
SUBTEXT_OFFLINESHOP_TEXTBTN3	Depo
SUBTEXT_OFFLINESHOP_TEXTBTN4	Fýrsatlarým
SUBTEXT_OFFLINESHOP_TEXTBTN5	Arama
SUBTEXT_OFFLINESHOP_TEXTBTN6	Tarih
SUBTEXT_OFFLINESHOP_TEXTBTN7	Aramalar kaydedildi
SUBTEXT_OFFLINESHOP_TEXTBTN8	Açýk Arttýrmam
SUBTEXT_OFFLINESHOP_TEXTBTN9	Açýk Arttýrma Listesi
SUBTEXT_OFFLINESHOP_TEXT1	Ýsim:
SUBTEXT_OFFLINESHOP_TEXT2	Zaman:
SUBTEXT_OFFLINESHOP_TEXT3	Maksimum süre 8 gündür.
SUBTEXT_OFFLINESHOP_TEXT4	Günler
SUBTEXT_OFFLINESHOP_TEXT5	Saatler
SUBTEXT_OFFLINESHOP_TEXT6	Baþlýk:
SUBTEXT_OFFLINESHOP_TEXT7	Zaman:
SUBTEXT_OFFLINESHOP_TEXT8	Sahip oldugu Ad:
SUBTEXT_OFFLINESHOP_TEXT9	Pazar Ýsimi:
SUBTEXT_OFFLINESHOP_TEXT10	Zaman:
SUBTEXT_OFFLINESHOP_TEXT11	Eþyalar:
SUBTEXT_OFFLINESHOP_TEXT12	Ýsim:
SUBTEXT_OFFLINESHOP_TEXT13	Eþya:
SUBTEXT_OFFLINESHOP_TEXT14	fiyat:
SUBTEXT_OFFLINESHOP_TEXT17	Eþya Ýsmi
SUBTEXT_OFFLINESHOP_TEXT18	Sýnýf
SUBTEXT_OFFLINESHOP_TEXT19	Tür
SUBTEXT_OFFLINESHOP_TEXT20	Fiyat
SUBTEXT_OFFLINESHOP_TEXT21	Level
SUBTEXT_OFFLINESHOP_TEXT22	Bonus
SUBTEXT_OFFLINESHOP_TEXT23	Yükseltme:
SUBTEXT_OFFLINESHOP_TEXT24	Ýpucu:
SUBTEXT_OFFLINESHOP_TEXT25	Min:
SUBTEXT_OFFLINESHOP_TEXT26	Maks:
SUBTEXT_OFFLINESHOP_TEXT27	Savaþçý
SUBTEXT_OFFLINESHOP_TEXT28	Ninja
SUBTEXT_OFFLINESHOP_TEXT29	Sura
SUBTEXT_OFFLINESHOP_TEXT30	Þaman
SUBTEXT_OFFLINESHOP_TEXT31	Ýtibaren:
SUBTEXT_OFFLINESHOP_TEXT32	Göre:
SUBTEXT_OFFLINESHOP_TEXT33	Tarih:
SUBTEXT_OFFLINESHOP_TEXT34	Zaman:
SUBTEXT_OFFLINESHOP_TEXT35	Eþya numarasý:
SUBTEXT_OFFLINESHOP_TEXT36	Ýsim:
SUBTEXT_OFFLINESHOP_TEXT37	Son Kullaným:
SUBTEXT_OFFLINESHOP_TEXT38	Günler:
SUBTEXT_OFFLINESHOP_TEXT39	Zaman:
SUBTEXT_OFFLINESHOP_TEXT40	Ýlk Fiyat:
SUBTEXT_OFFLINESHOP_TEXT41	Sahip:
SUBTEXT_OFFLINESHOP_TEXT42	En iyi teklif:
SUBTEXT_OFFLINESHOP_TEXT43	Sahip:
SUBTEXT_OFFLINESHOP_TEXT44	En Düþük Toplama:
SUBTEXT_OFFLINESHOP_TEXT45	Ýsim:
SUBTEXT_OFFLINESHOP_TEXT46	Teklif:
SUBTEXT_OFFLINESHOP_TEXT47	Sahip:
SUBTEXT_OFFLINESHOP_TEXT48	En iyi teklif:
SUBTEXT_OFFLINESHOP_TEXT49	Zaman:
SUBTEXT_OFFLINESHOP_TEXT50	Sayý:
DS_GRADE3	Antika
DS_GRADE4	Efsanevi
DS_GRADE5	Mitsi
CHATTING_SETTING_CANCLE	Onarmak
CHATTING_SETTING_CLEAR	Sýfýrla
CHATTING_SETTING_DEFAULT_TITLE	Genel
CHATTING_SETTING_DETAIL	Sistem Ayarlarý
CHATTING_SETTING_DICE	Zar
CHATTING_SETTING_DICE_SETTING	Zar Ayarlarý
CHATTING_SETTING_EXP	Tecrübe
CHATTING_SETTING_GOLD	Para Birimi
CHATTING_SETTING_GUILD	Lonca
CHATTING_SETTING_ITEM	Eþya
CHATTING_SETTING_LIST	Liste
CHATTING_SETTING_NOTICE	Mesaj
CHATTING_SETTING_PARTY	Grup
CHATTING_SETTING_SAVE	Kaydet
CHATTING_SETTING_SHOUT	Sohbet Satýrý
CHATTING_SETTING_SYSTEM	Sistem
CHATTING_SETTING_TABNAME	Sohbetin adý
CHATTING_SETTING_TALKING	Genel
CHATTING_SETTING_TITLE	Sohbet Ayarlarý
CHAT_FILTER	Sohbet filtresi
CHAT_FILTER_DICE	Zar
CAMERA_PERSPECTIVE	Perspektif
CHARACTER_EMOJI_ACTION	Yeni emoji
BROWSER_CHROME	Krom
PAGINA_GILDA_1	Sayfa 1
PAGINA_GILDA_2	Sayfa 2
TERZO_POSTO	Bronz
SECONDO_POSTO	Gümüþ
PRIMO_POSTO	Altýn
TROFEI_GILDA	Ganimet
SCONFITTE_GILDA	Kayýp
PAREGGI_GILDA	Beraber
VITTORIE_GILDA	Zafer
NOME_GILDA	Ýsim
NOME_RANKING	Sýralama
DIVISION_STACK	Komple Bölüm
WIKI_TITLE	Wiki
RESTART_TOWN_NEW	Þehirde %s saniye içinde yeniden baþlat
RESTART_HERE_NEW	%s saniye içinde buradan yeniden baþlatýn
BIOLOGO_CONSEGNA_ITEM	Teslimat
NOTIFICA_BIOLOGO	Bildirime izin ver
NOME_BIOLOGO	Biyolog Chaegirab
AUTO_TRANSLATE_DESC	Etkinleþtirilirse, alýnan mesajlar otomatik olarak dilinize çevrilecektir.
AUTO_TRANSLATE	Otomatik Çeviri
AUTO_TRANSLATE_WHISPER	Özel Mesaj
RUNE_TITLE	Rün
RUNE_ACTIVE	Aktif
RUNE_DEACTIVE	Devre Dýþý
RUNE_SHOP	Pazar
RUNE_EFFECT	Efekt
RUNE_EFFECT_DESC	Tüm Rün en az %60 olduðunda, efekti gizleyebilirsiniz.
MYSHOP_DECO_CANCEL	Kapalý.
MYSHOP_DECO_DEFAULT	Standart
MYSHOP_DECO_NEXT	sonraki
MYSHOP_DECO_OK	Kapalý
MYSHOP_DECO_PREV	Geri
MYSHOP_DECO_SELECT_MODEL	Maðazanýzýn görünümünü seçin.
MYSHOP_DECO_SELECT_TITLE	Baþlýðýnýzýn görünümünü seçin.
KASMIR_MARKET_PRIVATESHOP_0	Standart
KASMIR_MARKET_PRIVATESHOP_1	Binbir Gece
KASMIR_MARKET_PRIVATESHOP_2	Izgara ustasý
KASMIR_MARKET_PRIVATESHOP_3	Hazine avcýsý
KASMIR_MARKET_PRIVATESHOP_4	En düþük alev
KASMIR_MARKET_PRIVATESHOP_5	Silah tüccarý
KASMIR_MARKET_PRIVATESHOP_6	silah satýcýsý
KASMIR_MARKET_PRIVATESHOP_7	Simyacý
KASMIR_PAKET_STANDART	Standardt
KASMIR_PAKET_FIRE	Ateþ
KASMIR_PAKET_ICE	Buz
KASMIR_PAKET_PAPER	Kaðýt
KASMIR_PAKET_RIBON	Kurdele
KASMIR_PAKET_WING	Kanat
DESTROY	Destroy
PET_BTN_1	Yaþ Bonusu
EQUIPMENT_PAGE_BUTTON_TOOLTIP_1	Ekipman
EQUIPMENT_PAGE_BUTTON_TOOLTIP_2	Kostümler
PET_BTN_3	Ýlerleme
PET_EVOLVE_TITLE	Evrim
PET_EVOLVE_BUTTON_OK	Evrim geçirmek
PET_EVOLVE_BUTTON_CLOSE	Kapalý
PET_ENCHANT_TITLE	Bonus Pet'i Arttýr
PET_ENCHANT_CHOOSE	Arttýrýlacak bonusu seçin:
PET_ENCHANT_ACCEPT	Geniþletmek
PET_ENCHANT_CLOSE	Kapalý
RANKING_TITLE	Sýralama
RANKING_RANK	Konum
RANKING_NAME	Ýsim
RANKING_POINTS	Ýstatistikler
RANKING_CAT0	Düello kazan
RANKING_CAT1	Düellolarý kaybet
RANKING_CAT2	savaþta öldür
RANKING_CAT3	Oyuncuya karþý ortalama hasar
RANKING_CAT4	Oyuncuya karþý beceri hasarý
RANKING_CAT5	Metin yok edildi
RANKING_CAT6	Öldürülen canavar.
RANKING_CAT7	Patronlar öldürüldü
RANKING_CAT8	Patrona karþý ortalama hasar
RANKING_CAT9	Boss'a karþý beceri hasarý
RANKING_CAT10	Yang seç.
RANKING_CAT11	Birikmiþ Gaya
RANKING_CAT12	Kullanýlan büyü eþyalarý
RANKING_CAT13	Büyülü týlsýmlar kullanýldý
RANKING_CAT14	Yakalanan balýk
RANKING_CAT15	Oyunun süresi (dk)
RANKING_CAT16	Zindan temizlendi
RANKING_CAT17	Sandýklar açýldý
COMB_TITLE	Bonus transferi
ATTR_COSTUME_REMOVE	Özel bonusu kaldýr
ATTR_COSTUME_REMOVE_ACCEPT	Kaldýrmak
ATTR_COSTUME_REMOVE_CLOSE	Kapalý
ATTR_COSTUME_REMOVE_CHOOSE	Kaldýrmak istediðiniz bonusu seçin:
SKILL_PASSIVE_DEFENSE	Pasif
NEW_EXCHANGE_YOU	Sen
BATTLE_PASS	Savaþ Pasosu [F8]
BATTLE_PASS_MISSION_NAME	Görev Adý
BATTLE_PASS_MISSION_STATUS	Konum
BATTLE_PASS_MISSION_INFO	Bilgi
BATTLE_PASS_INFO	Savaþ Bileti Bilgisi
BATTLE_PASS_DESCRIPTION	Görev Açýklamasý
BATTLE_PASS_TOTAL_PROGRESS	Toplam ilerleme
SKILL_COLOR_TITLE	Rengi seç
SKILL_COLOR_PRESET_TITLE	Renk ön ayarý
SKILL_COLOR_PRESET_SELECT	Bir renk seç
SKILL_COLOR_PRESET_SAVE	Seçilen renk kodunu kaydedin
SKILL_COLOR_PRESET_CLEAR	Seçilen renk kodunu temizle
SKILL_COLOR_CUSTOM_COLOR_CODE_TITLE	Renk kodu
SKILL_COLOR_DEFAULT	Varsayýlan rengi kullan
SKILL_COLOR_CHANGE	Rengi deðiþtir
SKILL_COLOR_CANCEL	Ýptal
WIKI_WONDER	Wiki
DUNGEON_INFO	Zindan Bilgi
OFFLINE_SHOP	Offline Pazar
BIOLOGO	Biologist
SAVE_POINT	Kaydetme noktasý
TELEPORTER	Iþýnlanma Haritasý
SUPPORT_SYSTEM	Destek Shamy [X]
CLASSIFICA_GIOCATORI	Oyuncu Sýralamasý [F12]
CLASSIFICA_GILDA	Lonca Sýralamasý [F6]
SWITCH_BOT	Gira bonusu [K]
INVENTORY_SEPARATE	Envanteri Düzenle
INVENTORY_SPECIAL_SEPARATE	Özel Envanteri Düzenle
Rune	Rün [J]
EXTRA_INVENTORY	Özel Envanter [U]
QUEST_UI_TEXT_COLLECTION	Biyolog Görevi
QUEST_UI_TEXT_DAILY	Günlük Görev
QUEST_UI_TEXT_EVENT	Etkinlik Görevi
QUEST_UI_TEXT_LEVELUP	Av Görevi
QUEST_UI_TEXT_MAIN	Ana Görev
QUEST_UI_TEXT_SCROLL	Kitap Görevini Kaydýr
QUEST_UI_TEXT_SUB	Ýkincil Görev
QUEST_UI_TEXT_SYSTEM	Oyun Görevi
HIDE_COSTUME	Kostümü gizle
SELECT_YES_GUILD	Lonca ismi: %s
SUPPORT_SKILL_VALUE	Beceri Deðeri
SUPPORT_CHAR_TITLE	Destek Þaman Karakteri
DRAGONSOUL_REFINE	Arindirma
DRAGONSOUL_SHOP	Pazar
DEFANCE_WAWE_MAST_TEXT	Gemi Direði
DEFANCE_WAWE_GAUGE_TOOLTIP	HP: 990000000 /990000000
DAILY_REWARD01	Günlük ödül
DAILY_REWARD02	Ödül
DAILY_REWARD03	Tazmin etmek
DAILY_REWARD04	Mevcut ödül:
DAILY_REWARD05	Zaman:
OPTION_TILING	Grafik
OPTION_TILING_APPLY	Uygulamak
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
SASH_ABSORB	Bonus Absorbe
SASH_COMBINE	Birleþtir
SASH_MAIN	Kuþak 1
SASH_RESULT	Sonuç
SASH_SERVE	Sonuç 2
BANNER_MINI_GAME_FINDM	Canavar Üçlüsü
GUILD_BANK_NUMBER	Banka numarasý
GUILD_BASEINFO_DEAL	lonca arazisini sat
GUILD_BASEINFO_GOLDMANAGE	Ýþlem
GUILD_BASEINFO_LANDABANDON	Lonca arazi sözleþmesini iptal et.
GUILD_BASEINFO_MONEYIN	Depozito
GUILD_BASEINFO_MONEYOUT	Para çekme
GUILD_BASEINFO_VOTE	Anket
GUILD_LANDDEAL_VOTE	lonca arazisini sat
GUILD_LANDDEAL_VOTE_DEALGOLD	Yang Fiyatý:
GUILD_LANDDEAL_VOTE_DEALGUILDNAME	Lonca Adý:
GUILD_MEMBER_VOTE_CHECK	Anketi Kontrol Et
SAFEBOX_TITLE	Depolamak
MINI_GAME_FINDM_HINT_BTN	Ýpucu
MINI_GAME_FINDM_START_BTN	Oyunu baþlat
MINI_GAME_FINDM_TITLE	Canavar Üçlüsü
MINI_GAME_FINDM_TRY_COUNT_TEXT	Teþebbüs etmek
MINI_GAME_FINDM_UPGRADE_BAR1	Eþya
MINI_GAME_FINDM_UPGRADE_BAR2	Katký (Yang)
MINI_GAME_FINDM_UPGRADE_RECV	Eþya alýndý
MINI_GAME_FINDM_UPGRADE_RETRY	Ýyileþtirme giriþimi
MINI_GAME_FINDM_UPGRADE_TITLE	Ödülü geliþtirin
MOUSEBUTTON_ANTIEXP	AntiExp Yüzük
OPTION_CAMERA_DISTANCE_LONG_LONG	S. Uzakta
PIN_CODE_DESC_1	Oyuncu pin kodunu girin
PIN_CODE_DESC_2	oyuna katýlmak için.
PIN_CODE_NEW	Yeni pin kodu
PIN_CODE_CONFIRM_NEW	Yeni pin kodunu onaylayýn
BOOKS_TITLE	Terazi
COFFERS_TITLE	Sandýklar
STONES_TITLE	Taþlar
UPPGRADE_TITLE	Eþya Yükseltme
USERNAMETEXT	Kullanýcý adý:
PASSWORDTEXT	Þifre:
DUNGEON_INFO	Zindan Bilgi
DUNGEON_INFO_TYPE	Tür:
DUNGEON_INFO_ORGANIZATION	Organizasyon:
DUNGEON_INFO_LEVEL_LIMIT	Seviye sýnýrý:
DUNGEON_INFO_PARTY_MEMBERS	Parti üyeleri:
DUNGEON_INFO_COOLDOWN	Bekleme Süresi:
DUNGEON_INFO_DURATION	Süre:
DUNGEON_INFO_ENTRANCE	Giriþ:
DUNGEON_INFO_STRENGTH	Güç:
DUNGEON_INFO_RESISTANCE	Direnç:
DUNGEON_INFO_TOTAL_FINISHED	Toplam Tamamlanmýþ:
DUNGEON_INFO_FASTEST_TIME	En Hýzlý Zaman:
DUNGEON_INFO_HIGHEST_DAMAGE	Son patronda en yüksek hasar:
DUNGEON_INFO_TELEPORT	Iþýnlanma
DUNGEON_INFO_CLOSE	Kapalý
DUNGEON_INFO_PERSONAL_STATS	Kiþisel Ýstatistiklerim
DUNGEON_INFO_DUNGEON	Zindan
DUNGEON_RANKING	Sýralama
DUNGEON_RANKING_POSITION	Konum
DUNGEON_RANKING_NAME	Ýsim
DUNGEON_RANKING_LEVEL	Seviye
DUNGEON_RANKING_POINTS	Puanlar
DUNGEON_RANKING_TYPE1	Sýralamayý Bitir
DUNGEON_RANKING_TYPE2	Zaman Sýralamasý
DUNGEON_RANKING_TYPE3	Hasar Sýralamasý
DUNGEON_RANKING_POINT_TYPE1	Tamamlanmýþ
DUNGEON_RANKING_POINT_TYPE2	Minimum Zaman
DUNGEON_RANKING_POINT_TYPE3	Maksimum hasar
CHOOSE_MALL_TITLE	ITEM SHOP
STARTPAGE_TITLE	Ana Sayfa
STARTPAGE_COLUMN_1_TITLE	Yeni ögeler
STARTPAGE_COLUMN_2_TITLE	Yeni teklifler
STARTPAGE_COLUMN_3_TITLE	Tavsiye edilen
QUESTION_WANT_TO_BUY	Satin almak istiyor musun x{amount} {itemName} için {price} {currencyTitle}?
ITEMBOX_BUTTON_BUY_TEXT	Satin almak
ITEMBOX_BUTTON_PREVIEW_TEXT	Izlemek
ITEMBOX_ITEM_AMOUNT_TEXT	STK
BUTTON_BUY_CURRENCY_TEXT	Jeton satin alin
PLAYER_INFO_NAME_TITLE	Isim
PLAYER_INFO_LEVEL_TITLE	Seviye
PLAYER_INFO_CURRENCY_TITLE	Coins
ITEMBOX_DISCOUNT_TEXT_BY_LORD_ZIEGE	Indirim %d%%
