TELEPORT_PANEL_TITLE	teletrasporto
MINI_GAME_FINDM_UPGRADE_TITLE	Migliora ricompensa
MINI_GAME_FISH_HELP_TEXT	Aiuto
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Il Puzzle dei pesci
MINI_GAME_RUMI_DISCARD_TEXT	Modalità sicura
MINI_GAME_RUMI_EXIT	Termina
MINI_GAME_RUMI_LBUTTON_DESC	Inserisci la carta facendo clic con il tasto sinistro
MINI_GAME_RUMI_RBUTTON_DESC	Rimuovi la carta facendo clic con il tasto destro
MINI_GAME_RUMI_SCORE	Punti
MINI_GAME_RUMI_START_TEXT	Inizia
MINI_GAME_RUMI_TITLE	Gioco di carte Okey Metin2
MINI_GAME_YUTNORI_COM_TEXT	Computer
MINI_GAME_YUTNORI_PLAYER_TEXT	Giocatori
MINI_GAME_YUTNORI_PROBABILITY	Probabilità
MINI_GAME_YUTNORI_PROB_DESC	Seleziona un lancio Yut per aumentare la probabilità che esca.
MINI_GAME_YUTNORI_REMAIN_COUNT	Mosse
MINI_GAME_YUTNORI_REWARD_TEXT	Ricompensa
MINI_GAME_YUTNORI_SCORE	Punteggio
MINI_GAME_YUTNORI_START_TEXT	Start
MINI_GAME_YUTNORI_THROW	Lancia
MINI_GAME_YUTNORI_TITLE	Yutnori
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Ge
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back-do
MISTS_ISLAND_EMPIRE_NAME	Nome del regno
MISTS_ISLAND_EMPIRE_SCORE	Punteggio del regno
MISTS_ISLAND_END_TIME	Termine
MISTS_ISLAND_EXIT	Esci
MISTS_ISLAND_INFO_TEXT	Informazioni rango e status
MISTS_ISLAND_RANK	Rango
MISTS_ISLAND_SCORE	Punteggio
MISTS_ISLAND_TITLE_RANK	Informazioni rango e status
MISTS_ISLAND_TITLE_SCORE	Panoramica
MOUSEBUTTON_ATTACK	Attacca
MOUSEBUTTON_AUTO_ATTACK	Attacca automaticamente
MOUSEBUTTON_CAMERA	Videocamera
MOUSEBUTTON_ANTIEXP	Anello antiExp
MOUSEBUTTON_SKILL	Abilità.
MUSICLIST_TITLE	Scelta della musica
MYSHOP_DECO_CANCEL	Chiudi.
MYSHOP_DECO_DEFAULT	Standard
MYSHOP_DECO_NEXT	Avanti
MYSHOP_DECO_OK	Chiudi
MYSHOP_DECO_PREV	Indietro
MYSHOP_DECO_SELECT_MODEL	Seleziona l'aspetto del tuo negozio.
MYSHOP_DECO_SELECT_TITLE	Seleziona l'aspetto del tuo titolo.
NO	No
OK	Ok
OPPOSITES	Rifiuta
OPTION_ALWAYS_SHOW_NAME	Nome
OPTION_ALWAYS_SHOW_NAME_OFF	Limitato
OPTION_ALWAYS_SHOW_NAME_ON	Sempre
OPTION_BLOCK	Blocca
OPTION_BLOCK_EXCHANGE	Commercio
OPTION_BLOCK_FRIEND	Amici
OPTION_BLOCK_GUILD	Gilda
OPTION_BLOCK_PARTY	Gruppo
OPTION_BLOCK_PARTY_REQUEST	Richiesta
OPTION_BLOCK_WHISPER	Chat privata
OPTION_CAMERA_DISTANCE	Videocamera
OPTION_CAMERA_DISTANCE_LONG	Lontano
OPTION_CAMERA_DISTANCE_LONG_LONG	S. Lontano
OPTION_CAMERA_DISTANCE_SHORT	Vicino
OPTION_DELETE_MOBILE_BUTTON	Cancella numero di cellulare
OPTION_EFFECT	Visualizzatore dei bersagli
OPTION_ENV_EFFECT	Ambiente
OPTION_ENV_EFFECT_OFF	Off
OPTION_ENV_EFFECT_ON	On
OPTION_FOG	Nebbia
OPTION_FOG_DENSE	Molto
OPTION_FOG_LIGHT	Poco
OPTION_FOG_MIDDLE	Media
OPTION_FOG_OFF	Off
OPTION_FOG_ON	On
OPTION_INPUT_MOBILE_BUTTON	Inserisci il numero di cellulare
OPTION_KEY_SETTING	Tastiera
OPTION_LANGUAGE_CHANGE	Usa
OPTION_LANGUAGE_SELECT	Lingua
OPTION_MOBILE	Cellulare
OPTION_MOB_INFO	Info mostri
OPTION_MOB_INFO_AGGR	Aggressivo
OPTION_MOB_INFO_LEVEL	Livello
OPTION_MUSIC	Musica
OPTION_MUSIC_CHANGE	Cambia
OPTION_MUSIC_DEFAULT_THEMA	Titolo standard di Metin2
OPTION_NAME_COLOR	Colore Nome
OPTION_NAME_COLOR_EMPIRE	Nome del regno
OPTION_NAME_COLOR_NORMAL	Normale
OPTION_NIGHT_MODE	Notte
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	Modo PvP
OPTION_PVPMODE_FREE	Libero
OPTION_PVPMODE_FREE_TOOLTIP	Puoi attaccare tutti i giocatori.
OPTION_PVPMODE_GUILD	Gilda
OPTION_PVPMODE_GUILD_TOOLTIP	Puoi attaccare tutti i giocatori esclusi membri della Gilda.
OPTION_PVPMODE_PEACE	Pace
OPTION_PVPMODE_PEACE_TOOLTIP	Non puoi attaccare i giocatori del tuo regno.
OPTION_PVPMODE_REVENGE	Ostile
OPTION_PVPMODE_REVENGE_TOOLTIP	Puoi attaccare solo giocatori con gradi diversi dal tuo.
OPTION_SETTING	Apri
OPTION_SNOW_MODE	Nevicata
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Neve
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Effetti
OPTION_TARGET_BOARD	Menù bersaglio
OPTION_TARGET_BOARD_NO_VIEW	Chiudi
OPTION_TARGET_BOARD_VIEW	Visualizza
OPTION_TITLE	Opzioni
OPTION_VIEW_CHAT	Righe di Chat
OPTION_VIEW_CHAT_OFF	nascondi
OPTION_VIEW_CHAT_ON	visualizza
PARTY_MATCH_TEXT_DUNGEON_NAME	Dungeon
PARTY_MATCH_TEXT_DUNGEON_SELECT	Scegli Dungeon
PARTY_MATCH_TEXT_ENTREE_LEVEL	Livello: %d
PARTY_MATCH_TEXT_LEVEL_LIMIT	Livello richiesto
PARTY_MATCH_TEXT_REQUEST_MATCH	Cerca
PARTY_MATCH_TEXT_REQUEST_MATCH_CANCEL	Interrompi
PARTY_MATCH_TEXT_REQUIRED_ITEMS	Item richiesto/i
PARTY_MEMBER_INFO_NAME	Nome dei membri del gruppo
PASSWORD_DESC_1	Digita una password,
PASSWORD_DESC_2	per aprire il magazzino.
PASSWORD_DESC_3	Hai già cambiato la password?
PASSWORD_DESC_4	In caso non l'avessi fatto, la tua password è: "000000".
PASSWORD_DESC_5	Cambia la tua password nel magazzino.
PASSWORD_TITLE	Salva-PW
PET_AGE_TEXT	Età del pet
PET_ATTR_CHANGE_ITEM_TEXT	Incanta pet
PET_ATTR_CHANGE_TITLE	Modifica tipo di pet
PET_ATTR_CONFIRMATION	Modifica
PET_ATTR_DETERMINE_TITLE	Nuovo tipo di pet
PET_ATTR_OK	Chiudi
PET_CHANGE_TEXT	Pet
PET_FEED_TITLE	Nutri
PET_FFED_BUTTON_TEXT	Nutri
PET_HATCHING_BUTTON	Fai schiudere
PET_HATCHING_NIK	Nome del pet
PET_HATCHING_WINDOW_TITLE	Incubatrice
PET_INFORMATION_ABILITIES	Bonus
PET_INFORMATION_AGE	Età
PET_INFORMATION_COSTUME_BONUS	Bonus costume
PET_INFORMATION_DEFENCE	Difesa
PET_INFORMATION_EVOL_BUTTON	Sviluppo
PET_INFORMATION_EXP	Esperienza
PET_INFORMATION_EXP_BUTTON	Item EXP
PET_INFORMATION_HP	HP
PET_INFORMATION_LEVEL	Livello
PET_INFORMATION_LIFE	Durata
PET_INFORMATION_LIFETIME_BUTTON	Nutri
PET_INFORMATION_LIFE_TIME	Ore
PET_INFORMATION_SKILL	Abilità
PET_INFORMATION_SP	MP
PET_INFORMATION_TITLE	Pet
PET_NAME_CHANGE_BUTTON	Modifica
PET_NAME_CHANGE_WINDOW_TITLE	Modifica nome
PET_REVIVE_BUTTON	Resuscita
PET_REVIVE_CANCEL_BUTTON	Annulla
PET_REVIVE_MATERIAL_TITLE	Materiale
PET_REVIVE_REUSLT_TEXT	Risultato
PET_REVIVE_TARGET	Pet da resuscitare
PET_REVIVE_TITLE	Resuscita pet
PICK_MONEY_TITLE	Dividi
PRIVATESHOPSEARCH_BUY	Compra
PRIVATESHOPSEARCH_COUNT	Quantità
PRIVATESHOPSEARCH_ITEMNAME	Nome
PRIVATESHOPSEARCH_ITEMTYPE	Oggetti
PRIVATESHOPSEARCH_JOB	Classe
PRIVATESHOPSEARCH_LEVEL	Livello
PRIVATESHOPSEARCH_PRICE	Prezzo
PRIVATESHOPSEARCH_REFINE	Livello dell'oggetto
PRIVATESHOPSEARCH_SEARCH	Cerca
PRIVATESHOPSEARCH_SEARCH_BAR	Cerca
PRIVATESHOPSEARCH_SELECT	Scegli
PRIVATESHOPSEARCH_SELLER	Venditore
PRIVATE_SHOP_CLOSE_BUTTON	Chiudi negozio
PRIVATE_SHOP_NAME	Nome del negozio
PRIVATE_SHOP_TITLE	Crea un negozio privato
QUEST_UI_TEXT_COLLECTION	Missioni del biologo
QUEST_UI_TEXT_DAILY	Missione giornaliera
QUEST_UI_TEXT_EVENT	Missioni dell'evento
QUEST_UI_TEXT_LEVELUP	Missione di caccia
QUEST_UI_TEXT_MAIN	Missioni principali
QUEST_UI_TEXT_SCROLL	Missioni dei Libri missione
QUEST_UI_TEXT_SUB	Missioni secondarie
QUEST_UI_TEXT_SYSTEM	Missioni di gioco
REFINE_COST	Costi di miglioramento: 0 Yang
REFINE_ELEMENT_CHANGE_COST_TITLE	Costi:
REFINE_ELEMENT_CHANGE_DARK	Oscurità
REFINE_ELEMENT_CHANGE_EARTH	Terra
REFINE_ELEMENT_CHANGE_ELECT	Lampo
REFINE_ELEMENT_CHANGE_FIRE	Fuoco
REFINE_ELEMENT_CHANGE_ICE	Ghiaccio
REFINE_ELEMENT_CHANGE_TITLE	Modifica elemento
REFINE_ELEMENT_CHANGE_WIND	Vento
REFINE_ELEMENT_DOWNGRADE_TITLE	Diminuzione livello
REFINE_ELEMENT_UPGRADE_TITLE	Miglioramento
REFINE_INFO	Probabilità di successo del miglioramento: 100%
REFINE_MONEY	Tassa sul raffinamento
REFINE_SELECT	Raffinamento
REFINE_TTILE	Miglioramenti
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Arrenditi
RESTART_HERE	Ricomincia qui
RESTART_IMMEDIATE	Reincarnazione
RESTART_TOWN	Ricomincia nella città.
ROULETTE_SPECIAL_TITLE	Ricompense (%s)
ROULETTE_SPIN_TEXT1	GIRA
ROULETTE_SPIN_TEXT2	50 Anime
ROULETTE_SPIN_TEXT3	250.000 Yang
ROULETTE_TITLE	Ricompense
SAFE_CHANGE_PASSWORD	Modifica password
SAFE_TITLE	Magazzino
SELECT_ATTR_CHANGED	Nuovi
SELECT_ATTR_CURRENT	Vecchi
SELECT_ATTR_SELECT	Scegli
SELECT_ATTR_TITLE	Incanta oggetto+
SELECT_ATT_GRADE	STR
SELECT_CREATE	Crea
SELECT_DELETE	Cancella
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Nome del Regno
SELECT_EXIT	Termina
SELECT_HP	VIT
SELECT_LEVEL	Livello
SELECT_METIN_STONE_TITLE	Scegli pietra spirituale
SELECT_NAME	Nome
SELECT_NO_GUILD	Nessuna Gilda
SELECT_PLAYTIME	Tempo di gioco
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Scegli titolo
SHOP_BUY	Compra
SHOP_SELL	Vendi
SHOP_TITLE	Negozio
SKILL_SUPPORT_TITLE	Abilità standard
STEP	Grado di chiarezza
STEP_SELECT	Grado di purezza
STRENGTH	Rinforza
STRENGTH_SELECT	Livello
STRUCTURE_VIEW_MODE	Decorazione
STRUCTURE_VIEW_TYPE_STRUCTURE	Nascondi
SYSTEMOPTION_TITLE	Opzioni di sistema
SYSTEM_CHANGE	Cambia personaggio
SYSTEM_EXIT	Termina gioco
SYSTEM_HELP	Aiuto
SYSTEM_LOGOUT	Sconnetti
SYSTEM_MALL	Item Shop
SYSTEM_MOVE_CHANNEL	Cambia canale
SYSTEM_OPTION	Opzioni di sistema
TASKBAR_CHARACTER	Personaggio [C/V/B/N]
TASKBAR_CHAT	Finestra di Chat [Invio]
TASKBAR_DISABLE	Disattiva
TASKBAR_DRAGON_SOUL	Alchimia delle Pietre del drago [O]
TASKBAR_EXPAND	Ingrandisci la finestra
TASKBAR_INVENTORY	Inventario [I]
TASKBAR_MESSENGER	Amici [Alt+M]
TASKBAR_MONEY_EXPAND	Capitale
TASKBAR_NEXT_QUICKSLOT	Prossimo campo di utilizzo veloce [MAIUSC + Numero, Alt]
TASKBAR_PET_INFO	Informazioni sul pet
TASKBAR_PREV_QUICKSLOT	Precedente campo di utilizzo veloce [MAIUSC + Numero]
TASKBAR_SYSTEM	Opzioni[ESC]
TOTAL_RANKING	Classifica complessiva
WARP_MI_LABEL	Santuario da attaccare
WEEKLY_RANKING	Classifica settimanale
WHISPER_BAN	Blocca
WHISPER_NAME	Sussurra
WHISPER_REPORT	
WHISPER_SEND	Invia
YES	Sì
ZONE_MAP	Mappa grande
PIN_CODE_DESC_1	Inserisci il codice pin del personaggio
PIN_CODE_DESC_2	per entrare nel gioco.
PIN_CODE_NEW	Nuovo codice pin
PIN_CODE_CONFIRM_NEW	Conferma il codice pin
BOOKS_TITLE	Libri
COFFERS_TITLE	Forzieri
STONES_TITLE	Pietre
UPPGRADE_TITLE	Item Upp
USERNAMETEXT	Nome Utente:
PASSWORDTEXT	Password:
DUNGEON_INFO	Dungeon Informazioni
DUNGEON_INFO_TYPE	Genere:
DUNGEON_INFO_ORGANIZATION	Organizzazione:
DUNGEON_INFO_LEVEL_LIMIT	Limite di livello:
DUNGEON_INFO_PARTY_MEMBERS	Party members:
DUNGEON_INFO_COOLDOWN	Tempo di attesa:
DUNGEON_INFO_DURATION	Durata:
DUNGEON_INFO_ENTRANCE	Ingresso:
DUNGEON_INFO_STRENGTH	Forza:
DUNGEON_INFO_RESISTANCE	Resistenza:
DUNGEON_INFO_TOTAL_FINISHED	Totale Finiti:
DUNGEON_INFO_FASTEST_TIME	Miglior Tempo:
DUNGEON_INFO_HIGHEST_DAMAGE	Danno più alto sul boss finale:
DUNGEON_INFO_TELEPORT	Teletrasporto
DUNGEON_INFO_CLOSE	Chiudi
DUNGEON_INFO_PERSONAL_STATS	I miei risultati
DUNGEON_INFO_DUNGEON	Dungeon
DUNGEON_RANKING	Classifica
DUNGEON_RANKING_POSITION	Posizione
DUNGEON_RANKING_NAME	Nome
DUNGEON_RANKING_LEVEL	Livello
DUNGEON_RANKING_POINTS	Punti
DUNGEON_RANKING_TYPE1	Classifica Finito
DUNGEON_RANKING_TYPE2	Classifica Tempo
DUNGEON_RANKING_TYPE3	Classifica Danno
DUNGEON_RANKING_POINT_TYPE1	Completato
DUNGEON_RANKING_POINT_TYPE2	Min. Tempo
DUNGEON_RANKING_POINT_TYPE3	Max. Danno
CHOOSE_MALL_TITLE	ITEM SHOP
STARTPAGE_TITLE	Pagina iniziale
STARTPAGE_COLUMN_1_TITLE	Nuovi oggetti
STARTPAGE_COLUMN_2_TITLE	Nuove offerte
STARTPAGE_COLUMN_3_TITLE	Consigliato
QUESTION_WANT_TO_BUY	Vuoi comprare x{amount} {itemName} per {price} {currencyTitle}?
ITEMBOX_BUTTON_BUY_TEXT	Acquistare
ITEMBOX_BUTTON_PREVIEW_TEXT	Orologio
ITEMBOX_ITEM_AMOUNT_TEXT	STK
BUTTON_BUY_CURRENCY_TEXT	Acquista valuta!
PLAYER_INFO_NAME_TITLE	Nome
PLAYER_INFO_LEVEL_TITLE	Livello
PLAYER_INFO_CURRENCY_TITLE	Coins
ITEMBOX_DISCOUNT_TEXT_BY_LORD_ZIEGE	Sconto da %d%%
