NPC_SEARCH	Szukaj NPC
GUILDWINDOW_GRADE_INVITEAUTHORITY	Mo¿e przyj¹æ gracza do gildii
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Mo¿e przypi¹æ notatkê gildii
GUILDWINDOW_GRADE_SKILLAUTHORITY	Mo¿e u¿ywaæ umiejêtnoœci gildii
GUILDWINDOW_INFO_LEVEL10	Zwiêk. maks. licz. cz³onków
GUILDWINDOW_INFO_LEVEL15	Taniej: Moc Smoka
GUILDWINDOW_INFO_LEVEL20	Bank: Zwolnienie od podatku
GUILDWINDOW_INFO_LEVEL5	+5% PD na dotacjê gildii
GUILDWINDOW_LIST_ALL	Wszystkie Królestwa
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gildia] Z³o¿y³eœ ju¿ podanie.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista kandydatów
GUILDWINDOW_LIST_CHRACTER_JOB	Klasa
GUILDWINDOW_LIST_CHRACTER_LV	Poziom
GUILDWINDOW_LIST_CHRACTER_NAME	Nazwa postaci
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Profesja
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Cz³onek
GUILDWINDOW_LIST_GUILD_LIST	Lista gildii
GUILDWINDOW_LIST_GUILD_LV	Poziom
GUILDWINDOW_LIST_GUILD_NAME	Gildia
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilda] Wpisz nazwê gildii
GUILDWINDOW_LIST_LADDER	Punkty rangi
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gildia] Ta gildia nie przeprowadza naboru.
GUILDWINDOW_LIST_PROMOTE_GUILD	Podanie
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista gildii
GUILDWINDOW_LIST_RANKING	Pozycja
GUILDWINDOW_LIST_RANKING_COUNT	Pozycja
GUILDWINDOW_LIST_REGISTER	Podania
GUILDWINDOW_LIST_REGISTER_GUILD	Z³ó¿ podanie do gildii
GUILDWINDOW_LIST_SEARCH	Szukaj
GUILDWINDOW_LIST_SELECT_GUILD	[Gildia] Wybierz gildiê, aby z³o¿y do niej podanie.
GUILDWINDOW_PROMOTE_REFRESH	Werbowanie
GUILDWINDOW_PROMOTE_REGISTER	Werbowanie
GUILDWINDOW_SP_RECOVER	Moc Smoka
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Rozbudowa o³tarza
GUILDWINDOW_UPGRADE_GUILDBANK	Rozbudowa banku
GUILD_ATTENDANCE_FAIL_ALREADY	Dzisiaj wzi¹³eœ ju¿ udzia³.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Nie mo¿esz teraz wzi¹æ udzia³u. Udzia³ bêdzie zawsze resetowany o godz. 5:00.
GUILD_BANKINFO_CLOSE	Zamknij
GUILD_BANKINFO_NAME	Cz³onek gildii
GUILD_BANKINFO_TYPE	Przedmiot/Waluta
GUILD_BANKINFO_USETYPE	Akcja
GUILD_BANK_CLOSE	Zamknij
GUILD_BANK_INFO	Log Magazynu Gildii
GUILD_BOARD_ID	Cz³onek gildii
GUILD_BOARD_TEXT	Wiadomoœæ
GUILD_BUILDING_FIX_CHANGE	Czy naprawdê chcesz zmieniæ pozycjê?
GUILD_BUILDING_FIX_CHANGE_GOLD	Koszt: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Czy naprawdê chcesz skasowaæ obiekt?
GUILD_BUILDING_FIX_NEED_BUILDING	Brak budynku.
GUILD_BUILDING_GRADE	Ranga
GUILD_BUILDING_NAME	Nazwa Budynku
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Ducha Smoka jest ju¿ w pe³ni zregenerowana.
GUILD_COMMENT	Napisz
GUILD_CREATE_ERROR_INSULT_NAME	Nazwa Gildii jest niepoprawna.
GUILD_DEFAULT_GRADE	Cz³onkowie Gildii
GUILD_DELETE	Usuñ
GUILD_DEPOSIT	Depozyt
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Masz za ma³o kuponów wysokich wp³at.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Twój ekwipunek jest pe³ny. Nie mo¿esz wp³aciæ.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Masz za ma³o kuponów œrednich wp³at.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Za ma³o Yang.
GUILD_DONATE_QUESTION_HIGH	Czy chcesz dokonaæ wysokiej wp³aty?
GUILD_DONATE_QUESTION_MIDDLE	Czy chcesz dokonaæ œredniej wp³aty?
GUILD_DONATE_QUESTION_NORMAL	Czy chcesz dokonaæ ma³ej wp³aty?
GUILD_DO_YOU_HEAL_GSP	Czy chcesz odnowiæ za %d Yang %d Ducha Smoka?
GUILD_DO_YOU_JOIN	zaprasza Ciê do swojej Gildii. Chcesz do niej do³¹czyæ?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_PARTY_ALL	Ogólna lista najlepszych
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	od 11. miejsca: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Pomoc
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. miejsce: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4. - 10. miejsce: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2. - 3. miejsce: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Cz³onek
GUILD_DRAGONLAIR_PARTY_NOW	Tygodniowa lista najlepszych
GUILD_DRAGONLAIR_PARTY_PAST	Poprzednia lista najlepszych
GUILD_DRAGONLAIR_PARTY_TIME	Czas
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Nagroda
GUILD_DRAGONLAIR_RANKING_FAIL	PORA¯KA
GUILD_DRAGONLAIR_RANKING_NONE	NOWOŒÆ
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUKCES
GUILD_DRAGONLAIR_SECOND	Sek.
GUILD_EMPTY_AREA	Wolna Ziemia
GUILD_ENEMY_GUILD_NAME	Nazwa Gildii wroga
GUILD_FACILITY	Przybudówka
GUILD_GEM	Klejnot
GUILD_HEADQUARTER	Budynek G³ówny
GUILD_HEAL_GSP	Regeneracja Ducha Smoka
GUILD_INFO_ENEMY_GUILD_EMPTY	Nikt
GUILD_MARK_NOT_ENOUGH_LEVEL	Potrzebny przynajmniej 3 poziom
GUILD_MARK_UPLOAD_NOTICE	Poczekaj, aby zarejestrowaæ logo gildii.
GUILD_MEMBER_JOB	Klasa
GUILD_MEMBER_KNIGHT	Wojownik
GUILD_MEMBER_LEVEL	Poziom
GUILD_MEMBER_NAME	Cz³onek gildii
GUILD_MEMBER_RANK	Ranga
GUILD_MEMBER_SPECIFIC_GRAVITY	Wp³acone PD
GUILD_NAME	Nazwa Gildii
GUILD_NOT_ENOUGH_MATERIAL	Nie masz wystarczaj¹cej iloœci surowców na t¹ budowlê.
GUILD_NOT_ENOUGH_MONEY	Nie masz wystarczaj¹cej iloœci Yang na t¹ budowlê.
GUILD_NO_NOTICE_PERMISSION	Nie masz praw do tworzenia og³oszeñ.
GUILD_OBJECT	Obiekty
GUILD_OFFER_EXP	PD do przekazania
GUILD_SHORT_EXP	Za ma³o Punktów Doœwiadczenia.
GUILD_TILE_BASEINFO	Informacje o obszarze
GUILD_TILE_BOARD	Notatka gildii
GUILD_TILE_GRADE	Zarz¹dzanie Prawami
GUILD_TILE_INFO	Informacje o Gildii
GUILD_TILE_MEMBER	Cz³onek
GUILD_TILE_SKILL	Umiejêtnoœci Gildii
GUILD_USE_MASTER_ONLY	Tylko lider gildii ma takie prawo.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Obszar Wojny Gildii
GUILD_WAR2	Obszar Wojny Gildii
GUILD_WAR3	Obszar Wojny Gildii
GUILD_WAR4	Obszar Wojny Gildii
GUILD_WAR_GAINSCORE_FIFTY	50 punktów
GUILD_WAR_GAINSCORE_HUNDRED	100 punktów
GUILD_WAR_GAINSCORE_THIRTY	30 punktów
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_LIMIT_30MIN	Czas: 30 Minut
GUILD_WAR_REWARD_POTION	Nagroda: Zwyciêzca otrzymuje Miksturê
GUILD_WAR_SELECT_WAR	Wybierz rodzaj walki
GUILD_WAR_TYPE_DEFENSE	Tarcza bojowa
GUILD_WAR_TYPE_DIE	Walka na arenie
GUILD_WAR_TYPE_FLAG	Walka o flagi
GUILD_WAR_TYPE_NORMAL	Pole bitwy
GUILD_WAR_TYPE_TIGER	Zag³ada
GUILD_WAR_TYPE_TIME	Atak czasowy
GUILD_WAR_USE_BATTLE_MAP	Miejsce: Teatr Wojny Gildii
GUILD_WAR_USE_NORMAL_MAP	Miejsce: Normalna Mapa
GUILD_WAR_WIN_CHECK_SCORE	Najlepszy wynik wygrywa Wojnê.
GUILD_WAR_WIN_FIVE	Piêæ rund
GUILD_WAR_WIN_ONE	Jedna runda
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Zdob¹dŸ Flagê przeciwnika
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	i dostarcz j¹ do swojej bazy.
GUILD_WAR_WIN_THREE	Trzy rundy
GUILD_WAR_WIN_WIPE_OUT_GUILD	Pokonaj wszystkich wrogów by wygraæ.
GUILD_WITHDRAW	Wycofaj siê
GUILD_YOU_DO_NOT_JOIN	Nie jesteœ cz³onkiem ¿adnej Gildii.
HORSE_HEALTH0	Martwy
HORSE_HEALTH1	G³odny
HORSE_HEALTH2	Wyg³odzony
HORSE_HEALTH3	Pe³ny
HORSE_LEVEL1	Koñ Zwyk³y
HORSE_LEVEL2	Koñ Bojowy
HORSE_LEVEL3	Koñ Wojskowy
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	Czy chcesz upuœciæ %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Czy chcesz upuœciæ %s %d?
INPUT_MATRIX_CARD_NUMBER	Wpisz numer karty Matrix.
INPUT_MATRIX_CARD_TITLE	Karta Matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	WprowadŸ kod usuniêcia z zarz¹dzania kontem.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Usuwanie postaci
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Zwoje powrotu nie mog¹ byæ ³¹czone.
INVENTORY_REALLY_USE_ITEM	Na pewno chcesz zastosowaæ ten przedmiot?
INVENTORY_REALLY_USE_ITEM2	Czy na pewno chcesz u¿yæ tego przedmiotu?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Na pewno chcesz wsadziæ swojego zwierzaka do klatki transportowej?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Chcesz otworzyæ klatkê transportow¹?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Chcesz daæ przedmiot %s zwierzakowi %s?
IS_NOT_PET_CHANGE_ITEM	To nie jest przedmiot: zaczaruj zwierzaka.
IS_NOT_PET_ITEM	To nie jest zwierzak.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Brak
JOB_ASSASSIN1	Ninja Ostrza
JOB_ASSASSIN2	Ninja £uku
JOB_SHAMAN	Szaman
JOB_SHAMAN0	Brak
JOB_SHAMAN1	Szaman Mocy Smoka
JOB_SHAMAN2	Szaman Mocy Leczenia
JOB_SURA	Sura
JOB_SURA0	Brak
JOB_SURA1	Sura Broni
JOB_SURA2	Sura Magii
JOB_WARRIOR	Wojownik
JOB_WARRIOR0	Brak
JOB_WARRIOR1	Wojownik Mocy Cia³a
JOB_WARRIOR2	Wojownik Mocy Duchowej
JOB_WOLFMAN	Likan
JOB_WOLFMAN0	Likan Amator
JOB_WOLFMAN1	Instynkt
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Zamkn¹æ bez zapisywania?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] s¹ tutaj niedozwolone!
KEYCHANGE_SAVE_EXIT	Zapisaæ i zamkn¹æ?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	DÓ£
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LEWO
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	PRAWO
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPACJA
KEY_SUBTRACT	-
KEY_SYSRQ	PRT SCN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	GÓRA
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Nazwa lidera
LEFT_TIME	Pozosta³y Czas
LIMIT_LEVEL_GUILD	Poziom gildii: %d
LOGIN_CONNECT_FAILURE	B³¹d podczas ³¹czenia siê z serwerem.
LOGIN_CONNECT_SUCCESS	Zosta³eœ po³¹czony z serwerem.
LOGIN_CONNETING	Prosimy o cierpliwoœæ. Trwa ³¹czenie z serwerem.
LOGIN_FAILURE_ALREAY	Twoje konto jest ju¿ po³¹czone.
LOGIN_FAILURE_BACKEND_ERR	Wyst¹pi³ b³¹d. Skontaktuj siê z supportem.
LOGIN_FAILURE_BE_SAME_KEY	Problem z rejestracj¹.
LOGIN_FAILURE_BLOCK_ID	To konto zosta³o zablokowane.
LOGIN_FAILURE_BLOCK_LOGIN	Zamkniêty serwer: Serwer Zamkniêty - proszê wybraæ inny!
LOGIN_FAILURE_COUNTRY_ERR	Kod kraju jest niepoprawny.\nSkontaktuj siê z supportem.
LOGIN_FAILURE_INTEGRTING	To konto jest ³¹czone. Spróbuj ponownie póŸniej.
LOGIN_FAILURE_IOVATION_ERR	Wyst¹pi³ b³¹d. Zwróæ siê proszê do supportu.
LOGIN_FAILURE_NOBILL	Twoje konto nie ma czasu gry.
LOGIN_FAILURE_NOT_EXIST_ID	Nieprawid³owa nazwa konta lub has³o.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Konieczna jest weryfikacja drog¹ mailow¹.
LOGIN_FAILURE_REPAIR_ID	Dla tego konta w³aœnie przywrócono przedmioty.
LOGIN_FAILURE_SAMELOGIN	Ktoœ po³¹czy³ siê za pomoc¹ Twojego konta.
LOGIN_FAILURE_SHUTDOWN	Serwer nie jest jeszcze otwarty.
LOGIN_FAILURE_STEAM_SESSION	Sesja wygas³a. Prosimy o zrestartowanie klienta.
LOGIN_FAILURE_TNT_SESSION	Nie mo¿na otworzyæ klienta gry. Uruchom ponownie launchera i zaloguj siê.
LOGIN_FAILURE_TOO_MANY_USER	Nie mo¿esz siê po³¹czyæ, poniewa¿ za du¿o graczy jest online.
LOGIN_FAILURE_UNKNOWN	Nie mo¿esz siê zarejestrowaæ z nieznanych powodów.
LOGIN_FAILURE_WEB_BLOCK	Twoje konto zosta³o zablokowane na stronie www. Proszê sprawdziæ swoj¹ pocztê e-mail.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Wpisa³eœ nieprawid³owy numer.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Wybra³eœ z³y numer trzy razy. /n Twoje po³¹czenie zostanie zerwane.
LOGIN_FAILURE_WRONG_PASSWORD	Nieprawid³owa nazwa konta lub has³o.
LOGIN_INPUT_ID	Podaj swoje ID.
LOGIN_INPUT_PASSWORD	Wpisz swoje has³o.
LOGIN_PROCESSING	Logowanie...
LUCKY_BOX_DIALOG_RECV_TEXT	Czy chcesz przyj¹æ przedmiot?
LUCKY_BOX_DIALOG_RETRY_TEXT	Czy chcesz spróbowaæ szczêœcia?
MAILBOX_FAIL_USE_TIME_LIMIT	Trwa aktualizacja skrzynki pocztowej. Spróbuj ponownie póŸniej.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Brak wiadomoœci
MAILBOX_POST_ALL_DELETE_QUESTION1	Chcesz usun¹æ wszystkie wiadomoœci?
MAILBOX_POST_ALL_DELETE_QUESTION2	Wiadomoœci z za³¹cznikiem nie zostan¹ usuniête.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Nie masz ¿adnych wiadomoœci z za³¹cznikiem w skrzynce odbiorczej.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Czy chcesz odebraæ za³¹cznik? (Po potr¹ceniu 5% podatku za Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Wiadomoœæ nie zosta³a usuniêta. Odbierz najpierw znajduj¹cy siê tam za³¹cznik.
MAILBOX_POST_DELETE_QUESTION	Czy na pewno chcesz usun¹æ tê wiadomoœæ?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Przedmioty nie zosta³y przyjête. Twój ekwipunek jest pe³ny.
MAILBOX_POST_GET_ITEMS_QUESTION	Czy chcesz odebraæ za³¹cznik? (Po potr¹ceniu 5% podatku za Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Nie mo¿esz przyj¹æ wiêcej Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Nie mo¿esz przyj¹æ wiêcej Yang.
MAILBOX_POST_GM_ARRIVE	Wiadomoœæ GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Nieprzeczytane wiadomoœci: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Brak za³¹cznika: %d / Z za³¹cznikiem: %d
MAILBOX_POST_READ_BLOCK	Czy na pewno chcesz zablokowaæ: %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	Mo¿esz wys³aæ tylko jeden przedmiot w wiadomoœci.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Podziel najpierw na³o¿one przedmioty w ekwipunku, zanim do³¹czysz jeden z przedmiotów do wiadomoœci.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Nieznany odbiorca. Wiadomoœæ nie zosta³a wys³ana.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Skrzynka pocztowa odbiorcy jest pe³na. Wiadomoœæ nie zosta³a wys³ana.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Mo¿esz wysy³aæ wiadomoœci od poziomu 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Masz za ma³o Yang, aby wys³aæ wiadomoœæ.
MAILBOX_POST_WRITE_NAME_CHECK	PotwierdŸ nazwê odbiorcy, klikaj¹c na "SprawdŸ odbiorcê".
MAILBOX_POST_WRITE_NAME_EMPTY	Podaj nazwê odbiorcy.
MAILBOX_POST_WRITE_QUESTION1	Czy chcesz teraz wys³aæ wiadomoœæ do: %s?
MAILBOX_POST_WRITE_QUESTION2	Op³ata za dostawê: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Podaj nazwê odbiorcy.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Podaj temat.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Pieni¹dze
MAILBOX_POST_WRITE_WRONG_ITEM	Nie mo¿esz wysy³aæ przedmiotów przywi¹zanych do duszy.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Ta wiadomoœæ zawiera niedozwolone s³owa.
MAILBOX_POST_WRITE_WRONG_TITLE	Temat zawiera niedozwolone s³owa.
MALL_CANNOT_INSERT	Nie mo¿esz umieœciæ Przedmiotu.
MALL_PASSWORD_TITLE	Has³o
MAP_A1	Strefa Yongan
MAP_A2	Dolina Seungryong
MAP_A2_1	
MAP_A3	Strefa Yayang
MAP_AG	Jungrang
MAP_B1	Strefa Joan
MAP_B2	Dolina Imji
MAP_B3	Strefa Bokjung
MAP_BATTLE_FIELD	Strefa Walki
MAP_BAY	Nefrytowa Zatoka
MAP_BAYBLACKSAND	Nefrytowa Zatoka
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	PB: Zaklêty Las
MAP_BOSS_AWAKEN_FLAME	PB: Twierdza Czerwonego Smoka
MAP_BOSS_AWAKEN_SKIPIA	PB: Grota Wygnañców
MAP_BOSS_AWAKEN_SNOW	PB: Stra¿nica Nemere
MAP_BOSS_CRACK_DAWNMIST	SZC: Zaklêty Las
MAP_BOSS_CRACK_FLAME	SZC: Twierdza Czerwonego Smoka
MAP_BOSS_CRACK_SKIPIA	SZC: Grota Wygnañców
MAP_BOSS_CRACK_SNOW	SZC: Stra¿nica Nemere
MAP_BOSS_LABYRINTH	P³askowy¿ Iluzji
MAP_C1	Strefa Pyungmoo
