NPC_SEARCH	Npc keresés
SELECT_DELEING	Törlés...
SELECT_DELETED	Sikeres törlés
SELECT_DO_YOU_DELETE_REALLY	Folytatod?
SELECT_EMPTY_SLOT	Ez egy üres mezõ.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Adj meg egy új karakter nevet.
SELECT_NOT_JOIN_GUILD	Nincs céhben	
SERVER_NOTIFY_CLOSED	Lezárt szerver: csak a lezárás elõtt létrehozott fiókok léphetnek be.
SERVER_STATUS_CLOSE	LEZÁRT
SERVER_STATUS_NEW	ÚJ
SERVER_STATUS_SPECIAL	SPECIÁLIS
SHOP_BUY_INFO	Válaszd ki a tárgyat, amit meg akarsz vásárolni a bolt ablakból.
SHOP_CANNOT_SELL_EQUIPMENT	Nem adhatsz el felszerelt tárgyat.
SHOP_CANNOT_SELL_ITEM	Ez a tárgy nem eladó.
SHOP_ERROR_UNKNOWN	Ismeretlen Bolt Hiba: %s
SHOP_EXCEED_LIMIT_TODAY	Már túllépted a pontok használatára megadott napi korlátod.
SHOP_INVALID_POS	Ez a tárgy nem megfelelõ.
SHOP_INVENTORY_FULL	A leltárban nincs több hely.
SHOP_LIMITED_DATA_LOADING	Az adatok betöltése folyamatban van. Kérjük, próbáld újra késõbb.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Rendelkezésre álló tárgyak: %d
SHOP_LIMITED_PURCHASE_OVER	Elfogyott
SHOP_LIMIT_TODAY	Napi korlát: %d / %d
SHOP_MY_BATTLE_POINT	Harci pontok: %d
SHOP_MY_MEDAL_OF_HONOR	Bátorság medálja: %d
SHOP_NOT_ENOUGH_10TH_COIN	Nincs elég Évfordulós Érméd.
SHOP_NOT_ENOUGH_BATTLE_POINT	Nincs elegendõ harci pontod.
SHOP_NOT_ENOUGH_BNW	Nincs nálad elég Látók érméje.
SHOP_NOT_ENOUGH_GUILD_LEVEL	A céh szintje túl alacsony.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Nincs elegendõ Bátorság medálja.
SHOP_NOT_ENOUGH_MONEY	Nincs elég Yang
SHOP_NOT_ENOUGH_MONEY_EX	Nincs elegendõ Yangod.
SHOP_SELL_INFO	A leltár ablakodban válaszd ki az eladandó tárgyat.
SHOP_SOLDOUT	Elfogyott
SHOT_ERROR_UNKNOWN	Ismeretlen hiba a távolsági támadás során: %s
SKILL_BLEEDING	Vérzés
SKILL_BOHO	Visszaverés
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	EXP-re van szükséged, hogy kitanuld ezt a képességet.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Könyvre van szükséged, hogy kitanuld ezt a készséget.
SKILL_CHEONGEUN	Erõs test
SKILL_CRITICAL	Kritikus találat
SKILL_ENCHANT_POISON	Méreg használat
SKILL_EUNHYEONG	Láthatatlan
SKILL_FAINT	Ájulás
SKILL_FIND_TRAP	Csapda keresés
SKILL_FIRE	Égetés
SKILL_FISHMIND	A Horgászgömb aktív
SKILL_GAMJI	Megfog
SKILL_GEOMGYEONG	Kard aurája
SKILL_GICHEON	Sárkány segítsége
SKILL_GIGONG	Chi forgás	
SKILL_GONGPO	Félelem
SKILL_GRADE_NAME_GRAND_MASTER	%s nagymester
SKILL_GRADE_NAME_MASTER	%s mester
SKILL_GRADE_NAME_PERFECT_MASTER	%s tökéletes mester
SKILL_GROUP_ASSASSIN_1	Penge
SKILL_GROUP_ASSASSIN_2	Íj
SKILL_GROUP_HORSE	Lovaglás
SKILL_GROUP_SHAMAN_1	Sárkány
SKILL_GROUP_SHAMAN_2	Gyógyító
SKILL_GROUP_SURA_1	Fegyver
SKILL_GROUP_SURA_2	Mágia
SKILL_GROUP_WARRIOR_1	Test
SKILL_GROUP_WARRIOR_2	Mentális
SKILL_GWIGEOM	Elvarázsolt penge
SKILL_GYEONGGONG	Pehelykönnyû járás
SKILL_HEUKSIN	Sötét védelem
SKILL_HOSIN	Áldás
SKILL_INC_ATKSPD	Megnövelt támadósebesség
SKILL_INC_MOVSPD	Megnövelt mozgási sebesség
SKILL_JEOJU	Átok
SKILL_JEONGEOP	Gyógyít
SKILL_JEONGWI	Harci mámor
SKILL_JEONSINBANGEO	Teljes védelem
SKILL_JEONSINGONGGYEOK	Totális támadás
SKILL_JEUNGRYEOK	Támadás +
SKILL_JEUNGSOK	Sebesség +
SKILL_JUMAGAP	Elvarázsolt felszerelés
SKILL_KWAESOK	Gyorsaság
SKILL_MUYEONG	Láng szelleme
SKILL_NEED_EMPTY_BOTTLE	Nincs üres üvegem.
SKILL_NEED_POISON_BOTTLE	Nincs méregüvegem.
SKILL_ONLY_FOR_GUILD_WAR	Ezt a készséget csak céhháborúban kamatoztathatod.
SKILL_PABEOP	Varázslat érvénytelenítés
SKILL_POWERFUL_STRIKE	Kábult támadás	
SKILL_SEOMGWANG	Villám bomba
SKILL_SLEEP	Alvás
SKILL_SLOW	Lassan
SKILL_STUN	Elkábít
SKILL_SUHO	Õr
SKILL_SUMMON_DESCRIPTION	Felidézés esélye: %d%%
SKILL_TOOLTIP_INT	Intelligencia
SKILL_TOOLTIP_LEVEL	Szint
SKILL_TOXICDIE	Mérgezés
SKILL_TOXICPOWER	Méregtámadás fokozva
SKILL_TUSOK	Szellem ütés
SOUL_ITEM_TOOLTIP_APPLY	A hatás aktív
SOUL_ITEM_TOOLTIP_BLUE1	Játékidõ: %d/%d perc 
SOUL_ITEM_TOOLTIP_BLUE2	A készség kár növekszik a játékidõ elérésekor ennyivel: x%.1f
SOUL_ITEM_TOOLTIP_COMMON	Nem érvényes: PvP, átváltozás
SOUL_ITEM_TOOLTIP_RED1	Játékidõ: %d/%d perc 
SOUL_ITEM_TOOLTIP_RED2	A támadó sebzés növekszik a játékidõ elérésekor ennyivel: x%.1f
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Hátralevõ támadások: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	A lélek lejár
SOUL_ITEM_TOOLTIP_UNAPPLIED	A hatás nem aktív
SOUL_REFINE_FAILURE	A fejlesztés sikertelen volt.
SOUL_REFINE_SUCCESS	A fejlesztés sikeres volt!
STAT_MINUS_CON	Életerõ beállítás (maradék esély: %d)
STAT_MINUS_DEX	Ügyesség kiigazítás (Maradék esély: %d)
STAT_MINUS_INT	Intelligencia beállítás (maradék esély: %d)
STAT_MINUS_STR	Erõ beállítás (maradék esély: %d)
STAT_TOOLTIP_CON	Növekszik a TP és a védelem
STAT_TOOLTIP_DEX	Növekszik a támadás és a kitérés
STAT_TOOLTIP_INT	Növekszik a MP valamint a mágikus támadás és védekezés
STAT_TOOLTIP_STR	Növekszik a támadóérték és a sérülés
STAT_TOOLTIP_ACTION	Akciók
STAT_TOOLTIP_ATT	Támadóérték
STAT_TOOLTIP_ATT_SPEED	Támadósebesség
STAT_TOOLTIP_BASE_LEVEL	Szint
STAT_TOOLTIP_CAST_SPEED	Varázssebesség
STAT_TOOLTIP_CON	Növekszik a TP és a védelem
STAT_TOOLTIP_CONQUEROR_LEVEL	Bajnokszint
STAT_TOOLTIP_DEF	Védelem
STAT_TOOLTIP_DEX	Növekszik a támadás és a kitérés
STAT_TOOLTIP_DODGE_PER	Esély a nyilak elkerülésére
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	TP
STAT_TOOLTIP_IMG_CON	VIT: Növeli a TP-t és a védelmet
STAT_TOOLTIP_IMG_DEX	ÜGY: Növeli a támadást és a kitérést
STAT_TOOLTIP_IMG_INT	INT: Növeli a MP-t, mágikus támadást és -védelmet
STAT_TOOLTIP_IMG_STR	ERÕ: Növeli a támadóértéket és a sebzést
STAT_TOOLTIP_INT	Növekszik a MP valamint a mágikus támadás és védekezés
STAT_TOOLTIP_LEVEL	Szint
STAT_TOOLTIP_MAG_ATT	Mágikus támadóérték
STAT_TOOLTIP_MAG_DEF	Mágikus védelem
STAT_TOOLTIP_MOVE_SPEED	Mozgási sebesség
STAT_TOOLTIP_PASSIVE	Ereklyebónusz
STAT_TOOLTIP_POINT	Pont
STAT_TOOLTIP_REACTION	Reakciók
STAT_TOOLTIP_SHP	Yoharán kisebb levonást kapsz a maximális TP-dbõl.
STAT_TOOLTIP_SIMMUNE	Yoharán kisebb levonást kapsz a státusz változásra vonatkozó ellenállásodból.
STAT_TOOLTIP_SMOVE	Yoharán kisebb levonást kapsz a mozgási sebességedbõl.
STAT_TOOLTIP_SP	MP
STAT_TOOLTIP_SPECIAL_ACTION	Különleges akciók
STAT_TOOLTIP_SSTR	Yoharán kisebb sebzés levonást kapsz a támadásaidból.
STAT_TOOLTIP_STAT	Értékek
STAT_TOOLTIP_STR	Növekszik a támadóérték és a sérülés
STAT_TOOLTIP_SUNGMA_HP	Megváltoztatja a TP-t az ellenség Sung Ma akaratától (VIT) és a térképtõl függõen
STAT_TOOLTIP_SUNGMA_IMMUNE	Megváltoztatja a státusz hatásokra vonatkozó ellenállást az ellenség Sung Ma akaratától (INT) és a térképtõl függõen
STAT_TOOLTIP_SUNGMA_MOVE	Megváltoztatja a mozgási sebességet az ellenség Sung Ma akaratától (ELL) és a térképtõl függõen
STAT_TOOLTIP_SUNGMA_STR	Megváltoztatja a támadást az ellenség Sung Ma akaratától (ERÕ) és a térképtõl függõen
STAT_TOOLTIP_SUPPORT_SKILL	Másodlagos készségek
STAT_TOOLTIP_TAB_CHARACTER	Karakter
STAT_TOOLTIP_TAB_EMOTICON	Érzelmek
STAT_TOOLTIP_TAB_QUEST	Küldetések
STAT_TOOLTIP_TAB_SKILL	Készségek
SUNGMAHEE_TOWER_ENTER_FAIL_FLOOR	Elõbb teljesítened kell az alatta levõ szintet.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_MOUNT	Nem léphetsz be, amíg lovagolsz.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_CONQUEROR_LEVEL	A belépéshez el kell érned a Bajnokszintet.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_ITEM	A belépéshez szükséged van egy Koponyazászlóra.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_PARTY	Sung Mahi tornyába nem léphetsz be csoportban.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_POLYMORPH	Nem léphetsz be, amíg át vagy változva.
SUNGMAHEE_TOWER_FLOOR_TEXT	Szint {0}
SUNGMAHEE_TOWER_MY_RANK_TEXT	Helyezés {0}
SYMBOLLIST_TITLE	Céh zászló bejelentés
TARGET_BUTTON_ACCEPT_FIGHT	Egyetért
TARGET_BUTTON_AVENGE	Bosszú
TARGET_BUTTON_BLOCK	Blokkol
TARGET_BUTTON_BLOCK_REMOVE	Felold
TARGET_BUTTON_BUILDING_DESTROY	Elpusztít
TARGET_BUTTON_DISMOUNT	Leszáll
TARGET_BUTTON_EMOTION_ALLOW	Érzelmek
TARGET_BUTTON_EXCHANGE	Kereskedés
TARGET_BUTTON_EXCLUDE	Kizár
TARGET_BUTTON_EXIT_OBSERVER	Megfigyelõ mód vége
TARGET_BUTTON_FIGHT	Párbaj
TARGET_BUTTON_FRIEND	Barát
TARGET_BUTTON_INVITE_GUILD	Céh meghívás
TARGET_BUTTON_INVITE_PARTY	Csoport meghívás
TARGET_BUTTON_LEAVE_PARTY	Csoport elhagyása
TARGET_BUTTON_REQUEST_ENTER_PARTY	Belépés a csoportba
TARGET_BUTTON_REVIVE	Felélesztés
TARGET_BUTTON_VIEW_EQUIPMENT	Felszerelés
TARGET_BUTTON_WHISPER	Suttogni
TARGET_LEVEL_BOSS	Fõnök
TARGET_LEVEL_KING	5. szint
TARGET_LEVEL_KNIGHT	3. szint
TARGET_LEVEL_PAWN	1. szint
TARGET_LEVEL_S_KNIGHT	4. szint
TARGET_LEVEL_S_PAWN	2. szint
TARGET_TOOLTIP_ATTACK_COUNT	Összes találat: %d
TASKBAR_ATTACK	Támadni
TASKBAR_AUTO	Automatikus támadás
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Tapasztalat
TASKBAR_HP	TP
TASKBAR_MOVE	Mozogni
TASKBAR_SKILL	Készség
TASKBAR_SP	MP
TASKBAR_ST	KP
TENTH_COIN	Évfordulós Érme
TENTH_EVENT_ASK_EXCHANGE	%d Évfordulós Zászlóra van szükséged. Szeretnéd folytatni?
THING_COUNT	minden
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Sebzés csökkenés	SNA
TOOLTIP_AFFECT_CONFUSION	Elkábítottak.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Kritikus találat esélye csökken	SNA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Az õrzõ jele	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Nem tudtad megállítani a vízsugarat.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Védelem csökkenés	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Villám
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Arany tonhal bónusz	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Vizes ruha\nMozgási sebesség -50	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Lelkek (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Ritka lelkek (%d/150)	SA
TOOLTIP_AFFECT_MI_BUFF	Megszállási bónusz \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Hátasról leesés	SNA
TOOLTIP_AFFECT_POLYMORPH	Átváltozás	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Újratöltés növekedés	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Készség károkkal szembeni ellenállás +15% | Normál támadással szembeni ellenállás +15%
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Kutatói elixír	SNA
TOOLTIP_AFFECT_RHP_REGEN	Nincs regeneráció	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Raktár bónusz\n+3% EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Raktár bónusz\n+20 védelem	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Raktár bónusz\n+1% TP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Raktár bónusz\n+3% szörnyek elleni erõ	SNA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Nagyobb sebzés kevesebb rangpont esetén.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Kritikus csapás elleni ellenállás +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Átütõ csapás elleni ellenállás +%d%%	SA
TOOLTIP_ANTI_SELL	Nem lehet eladni a boltban.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Abszorpció mértéke: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Állatok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Nindzsák elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Harang védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Nyíl védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Karom védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Zodiákus szörnyek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Tõr védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Sivatagi szörnyek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Ördögök elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Legyezõ védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Félemberek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Rovarok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Ezoterikusok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Szörnyek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orkok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Sámánok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Surák elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Kard védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Kétkezes védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Élõholtak elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Harcosok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Vérfarkasok elleni erõ + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Vérzõ támadás + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Vérzõ támadás elleni ellenállás + %d%%	SA
TOOLTIP_APPLY_BLOCK	Esély a közelharci támadás kivédésére %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	MP-t a háborúban 5 másodpercenként visszaállít %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Esély kritikus találatra +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% esély, hogy az MP-t találatnál megtartsd	SA
TOOLTIP_APPLY_DODGE	Esély a nyilak elkerülésére %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Sötétség ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Sötétség ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Föld ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Föld ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Villám ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Villám ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Tûz ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Tûz ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Jég ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Jég ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Szél ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Szél ereje +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% esély EXP bónuszra	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% esély dupla mennyiségû Yang eldobására	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immunis a leesésre	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Immunis a lelassulás ellen.	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Immunis az ájulás ellen	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% esély, dupla mennyiségû tárgy eldobására	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% esély, TP visszaállítására	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% esély, MP visszaállítására	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% esély Mp rablásra	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Nincs hatás
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nem vész el tapasztalat pont ha a karakter újjáéled a holttesténél.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	A Sárkányisten védelmezõ szárnyai alá vett. Ha újraéledsz a fedélzeten, nem vesztesz tapasztalati pontot.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% esély átható találatra	SA
TOOLTIP_APPLY_POISON_PCT	Mérgezés esélye %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Méreg ellenállás %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Ital %d%% hatásnövekedés	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% esély, az átok visszaverésére	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% esély a közelharci támadás visszaverésére	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Védelmi esély nindzsatámadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Harang védelem %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Karom védelem +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Tõr védekezés %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Legyezõ védekezés %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Félemberek elleni védelem %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Esés ellenállás +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Védekezési esély sámántámadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Védekezési esély Sura támadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Kard védelem %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Kétkezes védelem %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Védekezési esély harcos támadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Szél ellenállás %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Védekezési esély vérfarkas-támadás ellen %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Könyvbõl tanulás esélyének növelése 2,5-szeresére	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Ha sikertelen a tanulás, azonnal újra próbálhatod szabadon.	SNA
TOOLTIP_APPLY_SLOW_PCT	Lassítás esélye %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% veszteség eltûnik a TP-bõl.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% veszteség eltûnik az MP-bõl.	SA
TOOLTIP_APPLY_STUN_PCT	Ájulás esélye %d%%	SA
TOOLTIP_ARMOR	Felszerelés
TOOLTIP_ARROW	Nyíl
TOOLTIP_ASSASSIN	Nindzsa
TOOLTIP_ATTBONUS_STONE	+%d%% Metinkövek elleni erõ	SA
TOOLTIP_ATT_GRADE	Támadó érték +%d	SA
TOOLTIP_ATT_SPEED	Támadósebesség +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Csökkentett támadósebesség	SNA
TOOLTIP_AUTO_POTION_HP	Nap Elixír
TOOLTIP_AUTO_POTION_REST	Maradék: %.2f%%
TOOLTIP_AUTO_POTION_SP	Hold Elixír
TOOLTIP_AUTO_POTION_USING	Aktív
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-vadászat	SNA
TOOLTIP_BATTLE_POTION	Harci övezeti harci ital	SNA
TOOLTIP_BOW_DISTANCE	Íjjász hatótávolság +%dm	SA
TOOLTIP_BUYPRICE	%s
TOOLTIP_CAST_SPEED	Varázssebesség +%d%%	SA
TOOLTIP_CON	Életerõ +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Jelmez bónusz %d%%	SA
TOOLTIP_DAMAGE_HP_RECOVERY	A sebzés %d%%-át TP-ként visszaállítja	SA
TOOLTIP_DAMAGE_SP_RECOVERY	A sebzés %d%%-át MP-ként visszaállítja	SA
TOOLTIP_DEF_GRADE	Védekezés +%d	SA
TOOLTIP_DEX	Ügyesség +%d	SA
TOOLTIP_DS_SET	DSS szett bónusz	SNA
TOOLTIP_EAR	Fülbevaló
TOOLTIP_ENERGY	Energia %d	SA
TOOLTIP_ETC	Stb.
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5. bónusz +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1. bónusz +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Pont: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Szint: %d
TOOLTIP_FISHINGROD_UPGRADE1	Add a halásznak,
TOOLTIP_FISHINGROD_UPGRADE2	hogy egy jobb
TOOLTIP_FISHINGROD_UPGRADE3	horgászbotot adjon.
TOOLTIP_FISH_LEN	Hossz: %.2fcm
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4. bónusz +%d%%	SA
TOOLTIP_GUILD_SKILL_ACCEL	Gyorsítás +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Sárkányisten áldása +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Sárkányisten vére +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Sárkányisten haragja +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Varázs-segély +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Szent vért +%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% EXP | +5% tárgy dobás | +10% szörnyek elleni erõ	SNA
TOOLTIP_HELMET	Sisak
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Sötétség erejének megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Föld erejének megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Villám erejének megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Tûz erejének megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Jég erejének megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Szél erejének megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Sötétség ellenállás megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Föld ellenállás megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Villám ellenállás megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Tûz ellenállás megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Jég ellenállás megszerzése %d mp-re harcban	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Szél ellenállás megszerzése %d mp-re harcban	SA
TOOLTIP_HP_REGEN	TP regenerálódás +%d%%	SA
TOOLTIP_INT	Intelligencia +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Támadó érték %d
TOOLTIP_ITEM_ATT_POWER	Támadó érték %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Támadó érték %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Támadó érték %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Támadósebesség %s
TOOLTIP_ITEM_DEF_GRADE	Védelem %d
TOOLTIP_ITEM_FAST	Gyors
TOOLTIP_ITEM_LIMIT_CON	Életerõ felsõ határ: %d
TOOLTIP_ITEM_LIMIT_DEX	Ügyesség felsõ határ: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligencia felsõ határ: %d
TOOLTIP_ITEM_LIMIT_LEVEL	%d. szinttõl
TOOLTIP_ITEM_LIMIT_STR	Erõ felsõ határ: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Mágikus támadó érték %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Mágikus támadó érték %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Mágikus védelem %d
TOOLTIP_ITEM_NORMAL	Normál
TOOLTIP_ITEM_SLOW	Lassú
TOOLTIP_ITEM_VERY_FAST	Nagyon gyors
TOOLTIP_ITEM_VERY_SLOW	Nagyon lassú
