NPC_SEARCH	Npc Search
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	DOWN
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LEFT
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	RIGHT
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPACE
KEY_SUBTRACT	-
KEY_SYSRQ	PRT SCN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	UP
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Leader's Name
LEFT_TIME	Time Remaining	
LIMIT_LEVEL_GUILD	Guild level: %d
LOGIN_CONNECT_FAILURE	Error while connecting to the server.	
LOGIN_CONNECT_SUCCESS	You have been connected to the server.
LOGIN_CONNETING	Please wait while you are connected to the server.
LOGIN_FAILURE_ALREAY	Your account is already connected.
LOGIN_FAILURE_BACKEND_ERR	An error has occurred. Please contact Support.
LOGIN_FAILURE_BE_SAME_KEY	Registration problem.	
LOGIN_FAILURE_BLOCK_ID	This account has been blocked.
LOGIN_FAILURE_BLOCK_LOGIN	Closed server: only accounts created before the closure may enter. Please choose another one!
LOGIN_FAILURE_COUNTRY_ERR	The country code is incorrect.\nPlease contact Support.
LOGIN_FAILURE_INTEGRTING	This account is currently being merged. Please try again later.
LOGIN_FAILURE_IOVATION_ERR	Unfortunately an error has occurred. Please contact Support.
LOGIN_FAILURE_NOBILL	The account has no playing time.
LOGIN_FAILURE_NOT_EXIST_ID	Account name or password incorrect.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	You must verify your account by email.
LOGIN_FAILURE_REPAIR_ID	Items have been restored for this account.
LOGIN_FAILURE_SAMELOGIN	Somebody has connected to your account.
LOGIN_FAILURE_SHUTDOWN	The server is not open yet.	
LOGIN_FAILURE_STEAM_SESSION	Your session has timed out. Please restart the client.
LOGIN_FAILURE_TNT_SESSION	The client cannot be opened. Please restart the launcher and log in.
LOGIN_FAILURE_TOO_MANY_USER	You could not connect because too many players are online.	
LOGIN_FAILURE_UNKNOWN	You could not register for unknown reasons.	
LOGIN_FAILURE_WEB_BLOCK	You have been blocked at the website. Please check your EMails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	You entered a wrong number.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	You entered a wrong number three times. /n Your connection will be disabled.	
LOGIN_FAILURE_WRONG_PASSWORD	Account name or password incorrect.
LOGIN_INPUT_ID	Enter the ID.	
LOGIN_INPUT_PASSWORD	Enter the password.	
LOGIN_PROCESSING	Logging in...
LUCKY_BOX_DIALOG_RECV_TEXT	Do you want to accept the item?
LUCKY_BOX_DIALOG_RETRY_TEXT	Do you want to try your luck again?
MAILBOX_FAIL_USE_TIME_LIMIT	Updating Mailbox. Please try again later.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	No messages
MAILBOX_POST_ALL_DELETE_QUESTION1	Delete all messages?
MAILBOX_POST_ALL_DELETE_QUESTION2	Messages with attachments will not be deleted.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	You don't have any messages with attachments in your mailbox.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Accept attachment? (Minus 5% tax on Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	The message could not be deleted. Please accept the attachment first.
MAILBOX_POST_DELETE_QUESTION	Do you really want to delete this message?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Items could not be accepted. Your inventory is full.
MAILBOX_POST_GET_ITEMS_QUESTION	Accept attachment? (Minus 5% tax on Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	You cannot accept any more Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	You cannot accept any more Yang.
MAILBOX_POST_GM_ARRIVE	GM Message
MAILBOX_POST_NOT_CONFIRM_INFO_1	Unread messages: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Without attachment: %d / With attachment: %d
MAILBOX_POST_READ_BLOCK	Are you sure you want to block %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	You can only send one item per message.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Split the stacked items in your inventory before attaching one to the message.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Unknown recipient. The message could not be sent.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	The recipient's mailbox is full. The message could not be sent.
MAILBOX_POST_WRITE_LEVEL_LIMIT	You can send messages from level 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	You don't have enough Yang to send this message.
MAILBOX_POST_WRITE_NAME_CHECK	Confirm the recipient's name by clicking on Check Recipient.
MAILBOX_POST_WRITE_NAME_EMPTY	Enter the recipient.
MAILBOX_POST_WRITE_QUESTION1	Do you want to send the message to %s now?
MAILBOX_POST_WRITE_QUESTION2	Delivery fee: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Enter a recipient.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Enter a subject.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Money
MAILBOX_POST_WRITE_WRONG_ITEM	You cannot send soulbound items.
MAILBOX_POST_WRITE_WRONG_MESSAGE	The message contains impermissible words.
MAILBOX_POST_WRITE_WRONG_TITLE	The subject contains impermissible words.
MALL_CANNOT_INSERT	You cannot place the Item.	
MALL_PASSWORD_TITLE	Password	
MAP_A1	Yongan Area
MAP_A2	Valley of Seungryong	
MAP_A2_1	
MAP_A3	Yayang Area
MAP_AG	Jungrang	
MAP_B1	Joan Area	
MAP_B2	Valley of Imji
MAP_B3	Bokjung Area
MAP_BATTLE_FIELD	Combat Zone
MAP_BAY	Nephrite Bay
MAP_BAYBLACKSAND	Nephrite Bay
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	RX: Enchanted Forest
MAP_BOSS_AWAKEN_FLAME	RX: Red Dragon Fortress
MAP_BOSS_AWAKEN_SKIPIA	RX: Grotto of Exile
MAP_BOSS_AWAKEN_SNOW	RX: Nemere's Watchtower
MAP_BOSS_CRACK_DAWNMIST	TR: Enchanted Forest
MAP_BOSS_CRACK_FLAME	TR: Red Dragon Fortress
MAP_BOSS_CRACK_SKIPIA	TR: Grotto of Exile
MAP_BOSS_CRACK_SNOW	TR: Nemere's Watchtower
MAP_BOSS_LABYRINTH	Plateau of Illusions
MAP_C1	Pyungmoo Area
MAP_C2	Valley of Bangsan
MAP_C3	Bakra Area
MAP_CAPE	Cape Dragon Fire
MAP_CAPEDRAGONHEAD	Cape Dragon Fire
MAP_CG	Imha
MAP_CZ_DUNGEON	Zodiac Temple
MAP_DAWN	Gautama Cliff
MAP_DAWNMISTWOOD	Gautama Cliff
MAP_DAWNMIST_DUNGEON_01	Enchanted Forest
MAP_DEFENSE_WAVE	Ship Defence
MAP_DEFENSE_WAVE_PORT	Harbour
MAP_DESERT	Yongbi Desert	
MAP_DEVILCATACOMB	Devil's Catacomb
MAP_DEVILTOWER1	Demon Tower
MAP_DUEL	Training Fight Arena
MAP_E	Colony
MAP_EMPIREWAR01	Castle Battle
MAP_EMPIREWAR02	Castle Battle
MAP_EMPIREWAR03	Castle Battle
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Palace of the Dragon King
MAP_HOLYPLACE_DESERT	Desert Land Kingdom Battle
MAP_HOLYPLACE_FLAME	Fireland Kingdom Battle
MAP_HOLYPLACE_ICE	Ice Land Kingdom Battle
MAP_MILGYO	Hwang Temple
MAP_MILGYO_A	
MAP_MINIBOSS_01	Blue Dungeon – Lvl 40-80
MAP_MINIBOSS_02	Red Dungeon – Lvl 81+
MAP_MISTS_OF_ISLAND	Isle of Mist
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Thunder Mountains
MAP_MT_TH_DUNGEON_01	Temple of the Ochao
MAP_NUSLUCK	Land of Giants
MAP_NUSLUCK01	Land of Giants
MAP_N_DESERT_01	Yongbi Desert
MAP_N_DESERT_02	
MAP_N_FLAME_01	Fireland
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Meley's Lair
MAP_N_FLAME_DUNGEON_01	Red Dragon Fortress
MAP_N_SNOWM_01	Mount Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemere's Watchtower
MAP_N_THREEWAY	Valley of Seungryong
MAP_OXEVENT	OX contest
MAP_PATHWAY_DESERT_01	Desert Land Kingdom Battle
MAP_PATHWAY_DESERT_02	Desert Land Kingdom Battle
MAP_PATHWAY_DESERT_03	Desert Land Kingdom Battle
MAP_PATHWAY_FLAME_01	Fireland Kingdom Battle
MAP_PATHWAY_FLAME_02	Fireland Kingdom Battle
MAP_PATHWAY_FLAME_03	Fireland Kingdom Battle
MAP_PATHWAY_ICE_01	Ice Land Kingdom Battle
MAP_PATHWAY_ICE_02	Gameland
MAP_PATHWAY_ICE_03	Ice Land Kingdom Battle
MAP_SKELTOWER	Gumsan Tower
MAP_SKIPIA_DUNGEON_01	Grotto of Exile
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grotto of Exile 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Dragon's Temple
MAP_SKIPIA_DUNGEON_BOSS_1	Spider Dungeon 1
MAP_SKIPIA_DUNGEON_BOSS_2	Spider Dungeon 2
MAP_SKIPIA_DUNGEON_BOSS_3	Spider Dungeon 3
MAP_SNOW	Mount Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Spider Dungeon 1
MAP_SPIDERDUNGEON_02	Spider Dungeon 2
MAP_SPIDERDUNGEON_02_1	Spider Dungeon 2
MAP_SPIDERDUNGEON_03	Spider Dungeon 3
MAP_SUNGZI	Kingdom Battle
MAP_SUNGZI_DESERT_01	Desert Land Kingdom Battle
MAP_SUNGZI_DESERT_HILL_01	Desert Land Kingdom Battle
MAP_SUNGZI_DESERT_HILL_02	Desert Land Kingdom Battle
MAP_SUNGZI_DESERT_HILL_03	Desert Land Kingdom Battle
MAP_SUNGZI_FLAME_HILL_01	Fireland Kingdom Battle
MAP_SUNGZI_FLAME_HILL_02	Fireland Kingdom Battle
MAP_SUNGZI_FLAME_HILL_03	Fireland Kingdom Battle
MAP_SUNGZI_SNOW	Ice Land Kingdom Battle
MAP_SUNGZI_SNOW_PASS01	Ice Land Kingdom Battle
MAP_SUNGZI_SNOW_PASS02	Ice Land Kingdom Battle
MAP_SUNGZI_SNOW_PASS03	Ice Land Kingdom Battle
MAP_T1	Guild War Area
MAP_T2	Guild War Area
MAP_T3	Guild War Area
MAP_T4	Guild War Area
MAP_TEMPLE	Hwang Temple	
MAP_THUNDER	Thunder Mountains
MAP_TREE	Lungsam	
MAP_TRENT	Ghost Forest
MAP_TRENT02	Red Forest
MAP_TRENT02_A	Red Forest
MAP_TRENT_A	
MAP_WEDDING_01	Wedding Map
MAP_WL	Snakefield
MAP_WL_01	Snakefield
MC_ACCUMULATION_COUNT	Collected Monster Cards: %d
MC_ALTER_TEXT	Mission level: %d
MC_CARD_FALL_SHORT	Insufficient registered cards.
MC_CARD_SHUFFLE	Do you want to shuffle the cards?
MC_INIT_ITEM_FALL_SHORT	You require %d Reset Ticket(s).
MC_MISSION_FAIL_MSG	No active mission or limit exceeded.
MC_MISSION_INIT	Do you want to reset the mission to level 1?
MC_MISSION_NO_CLEAR	You must complete the mission first.
MC_MOTION_BUTTON_OVER_MSG	This option only unlocks at 2 stars.
MC_POLY_BUTTON_OVER_MSG	This option only unlocks at 3 stars.
MC_POLY_FAIL	You cannot transform at the moment.
MC_POLY_QUESTION	Do you want to transform into this monster?
MC_PROMOTION_MAX	Cannot be promoted any further.
MC_PROMOTION_QUESTION	Do you want to increase level?
MC_QUESTION_BUTTON_DESC1	Can only be reset 6 times within 24 hours.
MC_QUESTION_BUTTON_DESC2	Each subsequent reset requires more Reset Tickets.
MC_QUESTION_BUTTON_DESC3	Click here to display the remaining cooldown time.
MC_REWARD_FAIL	There isn't enough space in your inventory.
MC_REWARD_MISSION	Do you want to collect your Monster Card now?
MC_SHUFFLE_NO_ITEM	You don't have a Reshuffle Ticket.
MC_TIME	Cooldown: %s
MC_TRADE_QUESTION	%d cards will be deducted. Do you want to continue?
MC_USE_ITEM_FAIL	This card cannot be added.
MC_USE_ITEM_QUESTION	Do you want to add this Monster Card?
MC_WARP_BUTTON_OVER_MSG	This option only unlocks at 4 stars.
MC_WARP_FAIL	You cannot teleport any more.
MC_WARP_LIMIT_LEVEL	Your current level is not high enough to teleport.
MC_WARP_QUESTION	Do you want to teleport to this monster's region?
MD_POPUP_MSG_1	You can only enter from the Zodiac Temple.
MD_POPUP_MSG_2	The Zodiac Guardians need to recuperate.\nGive them some time.
MD_SYSTEM_MSG_1	You aren't a zombie. You can't fight when you're dead.
MEDAL_OF_HONOR	Medal of Bravery
MEDAL_OF_HONOR_SYSTEM_PICK	Item received: Medal of Bravery x %d
MESSENGER_ADD_BLOCK_FRIEND	Add
MESSENGER_ADD_FRIEND	Add Friend	
MESSENGER_BLOCK	Blocked
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s added you as a friend.	
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accept?	
MESSENGER_DO_YOU_DELETE	Delete?	
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Do you want to delete the cell phone number?	
MESSENGER_DO_YOU_MOVE	Do you want to go on?	
MESSENGER_EMPTY_LIST	Empty	
MESSENGER_FAMILY	Family	
MESSENGER_FRIEND	Friends	
MESSENGER_GUILD	Guild	
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Enter the confirmation number that was sent to your cell phone.	
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Enter confirmation number	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Enter the cell phone number for the Text message sending.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Do you want to enter the number now?	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Enter cell phone number.	
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Send message.	
METIN_TEST	
MINIGAMEUI_CALENDAR	Event Calender
MINIGAME_FISH_EVENT_ADD_ACCEPT	Do you want to add this?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Do you really want to drop this item?
MINIGAME_FISH_EVENT_REWARD_MSG	You have received %s.
MINIGAME_FISH_EVENT_USE_ACCEPT	Do you want to use this?
MINIMAP	Open Mini Map	
MINIMAP_CANNOT_SEE	Mini Map cannot be seen.	
MINIMAP_CAN_NOT_SHOW_AREAMAP	Large Map cannot be shown.
MINIMAP_DEC_SCALE	Zoom out
MINIMAP_INC_SCALE	Zoom in	
MINIMAP_OBSERVER_COUNT	%d observers	
MINIMAP_OPEN_INGAMEEVENT	Events
MINIMAP_SHOW_AREAMAP	Open Large Map	
MINI_GAME_BNW_DONATE_QUESTION1	Do you want to donate?
MINI_GAME_BNW_DONATE_QUESTION2	Each donation costs 15 Seer Coins.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Are you sure you want to abandon the game?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Remember that you'll earn rewards if you win.
MINI_GAME_BNW_GAME_RESULT_DRAW	Draw! You've earned %d Seer Coin(s).
MINI_GAME_BNW_GAME_RESULT_LOSE	Defeat! You've earned %d Seer Coin(s).
MINI_GAME_BNW_GAME_RESULT_SCORE	Score: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Victory! You've earned %d Seer Coin(s).
MINI_GAME_BNW_NOT_ENOUGH_INVEN	There isn't enough space in your inventory.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	You require a Tarot Set to play.
MINI_GAME_BNW_NOT_ENOUGH_YANG	You don't have enough Yang to start the game.
MINI_GAME_BNW_RESULT_DRAW1	Your number is the same.
MINI_GAME_BNW_RESULT_DRAW2	Draw!
MINI_GAME_BNW_RESULT_LOSE1	Your number is smaller.
MINI_GAME_BNW_RESULT_LOSE2	Defeat!
MINI_GAME_BNW_RESULT_WIN1	Your number is larger.
MINI_GAME_BNW_RESULT_WIN2	Victory!
MINI_GAME_BNW_START_QUESTION	You require a Tarot Set and 30,000 Yang to play. Do you want to join the Duel of the Seers?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	If you wager multiple %ss, you will be rewarded with the same number of chests.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Maximum wager: %d King Decks.
MINI_GAME_CATCHKING_HELP_MSG1	What a pity! Your card's value is lower.\nYou don't earn any points. Choose a new card from your deck.
MINI_GAME_CATCHKING_HELP_MSG2	Well done! The cards are the same value.\nYour turn is over. Choose a new card from your deck.
MINI_GAME_CATCHKING_HELP_MSG3	Keep it up! The value of your card is higher.\nTurn over another card.
MINI_GAME_CATCHKING_HELP_MSG4	There was a [5] in range of the card you revealed.\nSadly you don't earn any points. Now select your King [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	The king has got away! The game is over. \nIf you've earned at least 10 points, you can now redeem your prize.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	You cannot redeem any prize.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	There's a [5] nearby.
MINI_GAME_CATCHKING_START_QUESTION	You must pay the following for a game: %d Yang and %s: %d lots\nDo you want to play now?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Can catch the following card: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Can catch the following cards: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Can catch the following cards: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Can catch the following cards: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Can catch the following cards: [1], [2], [3], [4], [5]\nIf another [5] is neighbouring the card you reveal,\nyour turn ends and you won't receive any points.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Can catch the following card: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 or more
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 to 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 to 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	You earn 10 bonus points if you reveal all the cards in a row.
MINI_GAME_GIVEUP_QUESTION	Are you sure you want to abandon the game? You will not receive any reward.
MINI_GAME_NOTICE_1	Click 'Throw' to determine the starting player.
MINI_GAME_NOTICE_10	Ha! You knocked the computer out!
MINI_GAME_NOTICE_11	Unlucky! The computer has knocked you out.
MINI_GAME_NOTICE_12	You had Yut or Mo and can throw again.
MINI_GAME_NOTICE_13	The game is over. Collect your reward.
MINI_GAME_NOTICE_2	Throw Yut Sticks.
MINI_GAME_NOTICE_3	Computer throwing Yut Sticks to determine the starting player.
MINI_GAME_NOTICE_4	You tied or the computer had the lowest scoring throw. Computer will start.
MINI_GAME_NOTICE_5	You had the lowest scoring throw and will start.
MINI_GAME_NOTICE_6	Your throw: %s. Move forwards %d space(s).
MINI_GAME_NOTICE_7	Your throw: %s. You must move 1 space back.
MINI_GAME_NOTICE_8	Throw: %s
MINI_GAME_NOTICE_9	It's the computer's turn.
MINI_GAME_RUMI_DISCARD_QUESTION	Do you really want to discard this card?
MINI_GAME_RUMI_EXIT_QUESTION	Do you want to end the game and collect your reward?\nYour score and remaining cards will then be reset!
MINI_GAME_RUMI_START_QUESTION	You must pay a fee of %d Yang in order to play. You will also need %d Card Set(s).\nDo you want to start the game?
MINI_GAME_YUTNORI_COM_WIN	You win some, you lose some.
MINI_GAME_YUTNORI_PC_WIN	To the victor go the spoils!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Score: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Throw
MINI_GAME_YUTNORI_RETHROW_POPUP	Lucky devil! It's your turn again.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	You need %d Yang and %d Yut Nori Board to start a game of Yut Nori. \n Play now?
MINUTE	min
MISTS_ISLAND_BUFF_MSG_01	Energy +2
MISTS_ISLAND_BUFF_MSG_02	Item Drop Rate +10%
MISTS_ISLAND_BUFF_MSG_03	Strength, Intelligence, Vitality, Dexterity +3
MISTS_ISLAND_BUFF_MSG_04	Yang Drop Rate +10%
MISTS_ISLAND_BUFF_MSG_05	Costume Bonuses +3%
MISTS_ISLAND_INFO_01	Your level is too low.
MISTS_ISLAND_INFO_02	Not enough Yang.
MISTS_ISLAND_INFO_03	No battle is currently taking place.
MISTS_ISLAND_MSG_01	%s has been destroyed by %s!
MISTS_ISLAND_MSG_02	%s has captured %s!
